,S_core0.decode.blockedCycles,S_core0.fetch.cycles,S_core0.numCycles,S_core0.numSimulatedInsts,S_core0.rename.LQFullEvents,S_core0.rename.unblockCycles,S_core0.rob.reads,S_core0.switch_cpus0.numRate,S_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core0.system.switch_cpus0.issueRate,S_core0.timesIdled,S_core0.l2cache.ReadReq.hits::total,S_core0.l2cache.demandAccesses::total,S_core1.decode.blockedCycles,S_core1.fetch.cycles,S_core1.numCycles,S_core1.numSimulatedInsts,S_core1.rename.LQFullEvents,S_core1.rename.unblockCycles,S_core1.rob.reads,S_core1.switch_cpus0.numRate,S_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core1.system.switch_cpus0.issueRate,S_core1.timesIdled,S_core1.l2cache.ReadReq.hits::total,S_core1.l2cache.demandAccesses::total,S_core2.decode.blockedCycles,S_core2.fetch.cycles,S_core2.numCycles,S_core2.numSimulatedInsts,S_core2.rename.LQFullEvents,S_core2.rename.unblockCycles,S_core2.rob.reads,S_core2.switch_cpus0.numRate,S_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core2.system.switch_cpus0.issueRate,S_core2.timesIdled,S_core2.l2cache.ReadReq.hits::total,S_core2.l2cache.demandAccesses::total,S_core3.decode.blockedCycles,S_core3.fetch.cycles,S_core3.numCycles,S_core3.numSimulatedInsts,S_core3.rename.LQFullEvents,S_core3.rename.unblockCycles,S_core3.rob.reads,S_core3.switch_cpus0.numRate,S_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core3.system.switch_cpus0.issueRate,S_core3.timesIdled,S_core3.l2cache.ReadReq.hits::total,S_core3.l2cache.demandAccesses::total,S_core3.ReadSharedReq.mshrMisses::total,S_core3.mem_ctrls.numStayReadState,S_core3.mem_ctrls.rdQLenPdf::3,S_core3.mem_ctrls.totGap,S_core3.system.l3.ReadSharedReq.accesses::total,S_core3.system.l3.demandAccesses::total,S_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,S_core3.system.l3.tags.totalRefs,S_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,NS_core0.decode.blockedCycles,NS_core0.fetch.cycles,NS_core0.numCycles,NS_core0.numSimulatedInsts,NS_core0.rename.LQFullEvents,NS_core0.rename.unblockCycles,NS_core0.rob.reads,NS_core0.switch_cpus0.numRate,NS_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core0.system.switch_cpus0.issueRate,NS_core0.timesIdled,NS_core0.l2cache.ReadReq.hits::total,NS_core0.l2cache.demandAccesses::total,NS_core1.decode.blockedCycles,NS_core1.fetch.cycles,NS_core1.numCycles,NS_core1.numSimulatedInsts,NS_core1.rename.LQFullEvents,NS_core1.rename.unblockCycles,NS_core1.rob.reads,NS_core1.switch_cpus0.numRate,NS_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core1.system.switch_cpus0.issueRate,NS_core1.timesIdled,NS_core1.l2cache.ReadReq.hits::total,NS_core1.l2cache.demandAccesses::total,NS_core2.decode.blockedCycles,NS_core2.fetch.cycles,NS_core2.numCycles,NS_core2.numSimulatedInsts,NS_core2.rename.LQFullEvents,NS_core2.rename.unblockCycles,NS_core2.rob.reads,NS_core2.switch_cpus0.numRate,NS_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core2.system.switch_cpus0.issueRate,NS_core2.timesIdled,NS_core2.l2cache.ReadReq.hits::total,NS_core2.l2cache.demandAccesses::total,NS_core3.decode.blockedCycles,NS_core3.fetch.cycles,NS_core3.numCycles,NS_core3.numSimulatedInsts,NS_core3.rename.LQFullEvents,NS_core3.rename.unblockCycles,NS_core3.rob.reads,NS_core3.switch_cpus0.numRate,NS_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core3.system.switch_cpus0.issueRate,NS_core3.timesIdled,NS_core3.l2cache.ReadReq.hits::total,NS_core3.l2cache.demandAccesses::total,NS_core3.ReadSharedReq.mshrMisses::total,NS_core3.mem_ctrls.numStayReadState,NS_core3.mem_ctrls.rdQLenPdf::3,NS_core3.mem_ctrls.totGap,NS_core3.system.l3.ReadSharedReq.accesses::total,NS_core3.system.l3.demandAccesses::total,NS_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,NS_core3.system.l3.tags.totalRefs,NS_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,Core0.L1.P0.degree,Core0.L1.P1.degree,Core0.L2.P0.degree,Core0.L2.P1.degree,Core1.L1.P0.degree,Core1.L1.P1.degree,Core1.L2.P0.degree,Core1.L2.P1.degree,Core2.L1.P0.degree,Core2.L1.P1.degree,Core2.L2.P0.degree,Core2.L2.P1.degree,Core3.L1.P0.degree,Core3.L1.P1.degree,Core3.L2.P0.degree,Core3.L2.P1.degree,LLC.P0.degree,LLC.P1.degree,LLC.P2.degree
mix137.alt_h1.0,4735206.0,7850965.0,17736523.0,30186054.0,2130074.0,2142935.0,29637695.0,0.6951918366412628,0.04605589657801823,575287.0,0.7068640792786726,446.0,193895.0,865683.0,15805178.0,15457053.0,17736523.0,30186054.0,5489742.0,6080387.0,23214742.0,0.3329707293814013,0.015828722487675622,210830.0,0.3584845800949825,527.0,854353.0,1150075.0,15017946.0,14828363.0,17736523.0,30186054.0,5494509.0,5753422.0,26881864.0,0.5812616711854968,0.07421413617764594,1557383.0,0.6083526066523861,1643.0,820055.0,2454077.0,13022124.0,13375971.0,17736523.0,30186054.0,4933868.0,5329383.0,24739667.0,0.4190004433225159,0.03192653528539213,294786.0,0.4378313607464101,3257.0,361839.0,663416.0,176566.0,546892.0,17141.0,4841961142.0,342521.0,346644.0,477771.0,283513.0,403380.0,4571078.0,7730793.0,17619394.0,29169702.0,2091152.0,2105918.0,29723792.0,0.7084566018558868,0.04927187341590225,1232604.0,0.7207484547992967,505.0,193113.0,1350721.0,15703937.0,15376936.0,17619394.0,29169702.0,5522063.0,6058481.0,23391972.0,0.3466810493028307,0.016622866342443577,477575.0,0.3721958314797887,589.0,845175.0,1376106.0,15428946.0,15218996.0,17619394.0,29169702.0,5679407.0,5969463.0,25837862.0,0.5373978809940909,0.10206752780016826,2998918.0,0.5615195392077617,3072.0,726709.0,3692189.0,13247757.0,13570910.0,17619394.0,29169702.0,4634065.0,5055731.0,24540384.0,0.40961562015129466,0.03690020379364703,627695.0,0.4276800325822784,5751.0,348160.0,899029.0,261026.0,687936.0,6279.0,4810049135.0,569502.0,574363.0,4006562.0,1257624.0,607992.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mix137.alt_h1.1,4571078.0,7730793.0,17619394.0,29169702.0,2091152.0,2105918.0,29723792.0,0.7084566018558868,0.04927187341590225,1232604.0,0.7207484547992967,505.0,193113.0,1350721.0,15703937.0,15376936.0,17619394.0,29169702.0,5522063.0,6058481.0,23391972.0,0.3466810493028307,0.016622866342443577,477575.0,0.3721958314797887,589.0,845175.0,1376106.0,15428946.0,15218996.0,17619394.0,29169702.0,5679407.0,5969463.0,25837862.0,0.5373978809940909,0.10206752780016826,2998918.0,0.5615195392077617,3072.0,726709.0,3692189.0,13247757.0,13570910.0,17619394.0,29169702.0,4634065.0,5055731.0,24540384.0,0.40961562015129466,0.03690020379364703,627695.0,0.4276800325822784,5751.0,348160.0,899029.0,261026.0,687936.0,6279.0,4810049135.0,569502.0,574363.0,4006562.0,1257624.0,607992.0,3753234.0,6880081.0,16506677.0,30273297.0,1713619.0,1724986.0,28306717.0,0.7315141018389104,0.042346957670324786,0.0,0.7435477776659711,556.0,193437.0,441942.0,14787867.0,14487463.0,16506677.0,30273297.0,4867752.0,5348472.0,21750453.0,0.33748948985916427,0.02298635853229786,0.0,0.363446137584203,660.0,803916.0,1044981.0,14099747.0,14006096.0,16506677.0,30273297.0,5305044.0,5622421.0,25433227.0,0.5908920977856416,0.0549811024114776,0.0,0.6184851742116235,3337.0,786637.0,1178449.0,11579861.0,11910582.0,16506677.0,30273297.0,4619363.0,5039774.0,24797020.0,0.5196011286826537,0.03484008461874833,1.0,0.5427793855783329,8478.0,420916.0,565589.0,135416.0,297642.0,18807.0,4506383973.0,174607.0,185333.0,27296.0,407161.0,87326.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
mix137.alt_h1.2,3753234.0,6880081.0,16506677.0,30273297.0,1713619.0,1724986.0,28306717.0,0.7315141018389104,0.042346957670324786,0.0,0.7435477776659711,556.0,193437.0,441942.0,14787867.0,14487463.0,16506677.0,30273297.0,4867752.0,5348472.0,21750453.0,0.33748948985916427,0.02298635853229786,0.0,0.363446137584203,660.0,803916.0,1044981.0,14099747.0,14006096.0,16506677.0,30273297.0,5305044.0,5622421.0,25433227.0,0.5908920977856416,0.0549811024114776,0.0,0.6184851742116235,3337.0,786637.0,1178449.0,11579861.0,11910582.0,16506677.0,30273297.0,4619363.0,5039774.0,24797020.0,0.5196011286826537,0.03484008461874833,1.0,0.5427793855783329,8478.0,420916.0,565589.0,135416.0,297642.0,18807.0,4506383973.0,174607.0,185333.0,27296.0,407161.0,87326.0,5142777.0,8275546.0,18120636.0,29570708.0,2350354.0,2365910.0,30225448.0,0.6903496654311692,0.05002501601266511,1220814.0,0.7025343370950115,611.0,206797.0,1366067.0,16213227.0,15876098.0,18120636.0,29570708.0,5620036.0,6164912.0,23909765.0,0.3385828179540718,0.019600050560628142,560179.0,0.3638724380314245,709.0,868263.0,1489201.0,15880827.0,15666896.0,18120636.0,29570708.0,5872195.0,6169351.0,26600379.0,0.5378492785794052,0.10267269111469435,3105454.0,0.5620036736017433,4745.0,749627.0,3835600.0,13548429.0,13894361.0,18120636.0,29570708.0,4771036.0,5218183.0,25269673.0,0.41005503338845284,0.036487281270509604,628082.0,0.4282562157310593,11147.0,356965.0,910447.0,274629.0,705704.0,5979.0,4946954922.0,567682.0,572638.0,4376678.0,1369580.0,628375.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mix137.alt_h1.3,5142777.0,8275546.0,18120636.0,29570708.0,2350354.0,2365910.0,30225448.0,0.6903496654311692,0.05002501601266511,1220814.0,0.7025343370950115,611.0,206797.0,1366067.0,16213227.0,15876098.0,18120636.0,29570708.0,5620036.0,6164912.0,23909765.0,0.3385828179540718,0.019600050560628142,560179.0,0.3638724380314245,709.0,868263.0,1489201.0,15880827.0,15666896.0,18120636.0,29570708.0,5872195.0,6169351.0,26600379.0,0.5378492785794052,0.10267269111469435,3105454.0,0.5620036736017433,4745.0,749627.0,3835600.0,13548429.0,13894361.0,18120636.0,29570708.0,4771036.0,5218183.0,25269673.0,0.41005503338845284,0.036487281270509604,628082.0,0.4282562157310593,11147.0,356965.0,910447.0,274629.0,705704.0,5979.0,4946954922.0,567682.0,572638.0,4376678.0,1369580.0,628375.0,3854320.0,6962138.0,16552547.0,30319493.0,1750088.0,1759651.0,28294203.0,0.7269423249485412,0.043296556377047005,17.0,0.7389390285374209,669.0,198803.0,453562.0,14830709.0,14497904.0,16552547.0,30319493.0,4824918.0,5303075.0,21776927.0,0.33524230440185426,0.02346042863330295,0.0,0.36035336434930526,777.0,805489.0,1048915.0,14124948.0,14029754.0,16552547.0,30319493.0,5327306.0,5645398.0,25549335.0,0.5936891766566197,0.054810283699139845,0.0,0.6213955471626209,5070.0,792766.0,1186915.0,11502571.0,11840457.0,16552547.0,30319493.0,4402943.0,4830811.0,24839469.0,0.5155674833607179,0.0339816505951766,0.0,0.5383085152997904,14165.0,418701.0,558647.0,127607.0,303708.0,19169.0,4518847515.0,170979.0,180807.0,48289.0,412528.0,97407.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
mix137.alt_h1.4,3854320.0,6962138.0,16552547.0,30319493.0,1750088.0,1759651.0,28294203.0,0.7269423249485412,0.043296556377047005,17.0,0.7389390285374209,669.0,198803.0,453562.0,14830709.0,14497904.0,16552547.0,30319493.0,4824918.0,5303075.0,21776927.0,0.33524230440185426,0.02346042863330295,0.0,0.36035336434930526,777.0,805489.0,1048915.0,14124948.0,14029754.0,16552547.0,30319493.0,5327306.0,5645398.0,25549335.0,0.5936891766566197,0.054810283699139845,0.0,0.6213955471626209,5070.0,792766.0,1186915.0,11502571.0,11840457.0,16552547.0,30319493.0,4402943.0,4830811.0,24839469.0,0.5155674833607179,0.0339816505951766,0.0,0.5383085152997904,14165.0,418701.0,558647.0,127607.0,303708.0,19169.0,4518847515.0,170979.0,180807.0,48289.0,412528.0,97407.0,5484689.0,8650762.0,18584788.0,35770185.0,2550312.0,2566781.0,30648804.0,0.6729469284233967,0.049656859222952175,1159067.0,0.6843194014373476,793.0,194316.0,1282186.0,16058377.0,14413445.0,18584788.0,35770185.0,9464466.0,10489239.0,31022055.0,0.6982325544956445,0.007620743177762103,380469.0,0.7050423712124131,1020.0,197758.0,647156.0,16266607.0,16046110.0,18584788.0,35770185.0,6021745.0,6343255.0,27250626.0,0.53765434397207,0.10227309429033755,3135645.0,0.5617646001665448,6545.0,765768.0,3881934.0,14127334.0,14452209.0,18584788.0,35770185.0,5261672.0,5723319.0,25389781.0,0.3918234633615406,0.03723767656211148,621739.0,0.4090629928089575,17083.0,347899.0,896993.0,376460.0,807438.0,4706.0,5073647942.0,653181.0,658711.0,5656635.0,1605278.0,724674.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mix137.alt_h1.5,5484689.0,8650762.0,18584788.0,35770185.0,2550312.0,2566781.0,30648804.0,0.6729469284233967,0.049656859222952175,1159067.0,0.6843194014373476,793.0,194316.0,1282186.0,16058377.0,14413445.0,18584788.0,35770185.0,9464466.0,10489239.0,31022055.0,0.6982325544956445,0.007620743177762103,380469.0,0.7050423712124131,1020.0,197758.0,647156.0,16266607.0,16046110.0,18584788.0,35770185.0,6021745.0,6343255.0,27250626.0,0.53765434397207,0.10227309429033755,3135645.0,0.5617646001665448,6545.0,765768.0,3881934.0,14127334.0,14452209.0,18584788.0,35770185.0,5261672.0,5723319.0,25389781.0,0.3918234633615406,0.03723767656211148,621739.0,0.4090629928089575,17083.0,347899.0,896993.0,376460.0,807438.0,4706.0,5073647942.0,653181.0,658711.0,5656635.0,1605278.0,724674.0,4189240.0,7299913.0,16869488.0,36007003.0,2011497.0,2020091.0,28658069.0,0.7159813623270606,0.04224946168420419,0.0,0.7275251033107821,839.0,192808.0,441418.0,14845939.0,13050357.0,16869488.0,36007003.0,9871125.0,10762396.0,28578006.0,0.7193853186297059,0.011059628530855518,0.0,0.721281404628285,1067.0,24093.0,361141.0,14411766.0,14315734.0,16869488.0,36007003.0,5431830.0,5756027.0,25952329.0,0.5884988922011148,0.0554196318858577,7.0,0.616022074884549,6834.0,800883.0,1202386.0,12140891.0,12448215.0,16869488.0,36007003.0,4768860.0,5224465.0,24758886.0,0.4868114550957326,0.03436762399677476,0.0,0.5081399032383199,19903.0,404599.0,541288.0,231694.0,492846.0,30071.0,4605371317.0,280450.0,291045.0,76360.0,657216.0,208054.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
mix137.alt_h1.6,4189240.0,7299913.0,16869488.0,36007003.0,2011497.0,2020091.0,28658069.0,0.7159813623270606,0.04224946168420419,0.0,0.7275251033107821,839.0,192808.0,441418.0,14845939.0,13050357.0,16869488.0,36007003.0,9871125.0,10762396.0,28578006.0,0.7193853186297059,0.011059628530855518,0.0,0.721281404628285,1067.0,24093.0,361141.0,14411766.0,14315734.0,16869488.0,36007003.0,5431830.0,5756027.0,25952329.0,0.5884988922011148,0.0554196318858577,7.0,0.616022074884549,6834.0,800883.0,1202386.0,12140891.0,12448215.0,16869488.0,36007003.0,4768860.0,5224465.0,24758886.0,0.4868114550957326,0.03436762399677476,0.0,0.5081399032383199,19903.0,404599.0,541288.0,231694.0,492846.0,30071.0,4605371317.0,280450.0,291045.0,76360.0,657216.0,208054.0,5470217.0,8634373.0,18527213.0,35801908.0,2575100.0,2589637.0,30640975.0,0.6766553069800623,0.04955876667146927,1157105.0,0.6881102948403519,904.0,192839.0,1279954.0,16176237.0,14232842.0,18527213.0,35801908.0,10224297.0,11242007.0,31264208.0,0.7159753601364652,0.006758987156281529,349051.0,0.7212291994484006,1353.0,117974.0,530362.0,16239817.0,16020286.0,18527213.0,35801908.0,5982455.0,6299071.0,27214927.0,0.5390337985535115,0.1026479871656699,3183135.0,0.5631969039272123,8269.0,766975.0,3917963.0,14334863.0,14649911.0,18527213.0,35801908.0,5226607.0,5667469.0,25154349.0,0.37644107616185984,0.036443650329320496,586670.0,0.39303396576700445,22328.0,332443.0,847789.0,383464.0,813346.0,4292.0,5057684196.0,648888.0,654402.0,5978839.0,1494773.0,733889.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mix137.alt_h1.7,5470217.0,8634373.0,18527213.0,35801908.0,2575100.0,2589637.0,30640975.0,0.6766553069800623,0.04955876667146927,1157105.0,0.6881102948403519,904.0,192839.0,1279954.0,16176237.0,14232842.0,18527213.0,35801908.0,10224297.0,11242007.0,31264208.0,0.7159753601364652,0.006758987156281529,349051.0,0.7212291994484006,1353.0,117974.0,530362.0,16239817.0,16020286.0,18527213.0,35801908.0,5982455.0,6299071.0,27214927.0,0.5390337985535115,0.1026479871656699,3183135.0,0.5631969039272123,8269.0,766975.0,3917963.0,14334863.0,14649911.0,18527213.0,35801908.0,5226607.0,5667469.0,25154349.0,0.37644107616185984,0.036443650329320496,586670.0,0.39303396576700445,22328.0,332443.0,847789.0,383464.0,813346.0,4292.0,5057684196.0,648888.0,654402.0,5978839.0,1494773.0,733889.0,3917306.0,7033561.0,16625988.0,30383273.0,1812319.0,1822602.0,28393558.0,0.7249172801038952,0.04236168292471842,0.0,0.7367418405450551,965.0,193520.0,441691.0,14873304.0,14540051.0,16625988.0,30383273.0,4882915.0,5362650.0,21838433.0,0.3344281254142611,0.023195436333703735,0.0,0.3599873282718597,1569.0,807790.0,1049799.0,14205486.0,14109753.0,16625988.0,30383273.0,5372463.0,5685856.0,25608997.0,0.5905918493385175,0.054330154127062734,12.0,0.6181247093405817,8535.0,791798.0,1182604.0,11657418.0,12002280.0,16625988.0,30383273.0,4545185.0,5005695.0,24929798.0,0.5186873104924652,0.03413056283387159,2.0,0.5413854502962471,25260.0,418269.0,560693.0,134275.0,307102.0,18517.0,4538649096.0,170810.0,181339.0,52747.0,371065.0,92526.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
mix137.alt_h1.8,3917306.0,7033561.0,16625988.0,30383273.0,1812319.0,1822602.0,28393558.0,0.7249172801038952,0.04236168292471842,0.0,0.7367418405450551,965.0,193520.0,441691.0,14873304.0,14540051.0,16625988.0,30383273.0,4882915.0,5362650.0,21838433.0,0.3344281254142611,0.023195436333703735,0.0,0.3599873282718597,1569.0,807790.0,1049799.0,14205486.0,14109753.0,16625988.0,30383273.0,5372463.0,5685856.0,25608997.0,0.5905918493385175,0.054330154127062734,12.0,0.6181247093405817,8535.0,791798.0,1182604.0,11657418.0,12002280.0,16625988.0,30383273.0,4545185.0,5005695.0,24929798.0,0.5186873104924652,0.03413056283387159,2.0,0.5413854502962471,25260.0,418269.0,560693.0,134275.0,307102.0,18517.0,4538649096.0,170810.0,181339.0,52747.0,371065.0,92526.0,4842973.0,7999144.0,17898618.0,29408887.0,2211283.0,2226006.0,30036242.0,0.7004346369088384,0.04987260880258107,1206614.0,0.7124591407001367,1018.0,191915.0,1320689.0,15982489.0,15648691.0,17898618.0,29408887.0,5584638.0,6131164.0,23684512.0,0.3424895709825194,0.016847356436041176,469412.0,0.3680438344457656,1633.0,864096.0,1383422.0,15682170.0,15473375.0,17898618.0,29408887.0,5787800.0,6078894.0,26248409.0,0.5375518378011085,0.10251453556294875,3045604.0,0.5616566597488142,9945.0,737938.0,3751819.0,13487291.0,13826139.0,17898618.0,29408887.0,4887641.0,5324299.0,24967702.0,0.4153839698685116,0.037981402147387426,657278.0,0.4338574073149111,27933.0,359327.0,934561.0,281251.0,708113.0,5833.0,4886811904.0,572778.0,577932.0,4403426.0,1300645.0,629770.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mix137.alt_h1.9,4842973.0,7999144.0,17898618.0,29408887.0,2211283.0,2226006.0,30036242.0,0.7004346369088384,0.04987260880258107,1206614.0,0.7124591407001367,1018.0,191915.0,1320689.0,15982489.0,15648691.0,17898618.0,29408887.0,5584638.0,6131164.0,23684512.0,0.3424895709825194,0.016847356436041176,469412.0,0.3680438344457656,1633.0,864096.0,1383422.0,15682170.0,15473375.0,17898618.0,29408887.0,5787800.0,6078894.0,26248409.0,0.5375518378011085,0.10251453556294875,3045604.0,0.5616566597488142,9945.0,737938.0,3751819.0,13487291.0,13826139.0,17898618.0,29408887.0,4887641.0,5324299.0,24967702.0,0.4153839698685116,0.037981402147387426,657278.0,0.4338574073149111,27933.0,359327.0,934561.0,281251.0,708113.0,5833.0,4886811904.0,572778.0,577932.0,4403426.0,1300645.0,629770.0,3830996.0,6952973.0,16567594.0,30328115.0,1744505.0,1754180.0,28341816.0,0.7274872863253409,0.042785322252695816,18.0,0.7393791759986392,1067.0,193459.0,443860.0,14848143.0,14537768.0,16567594.0,30328115.0,4892125.0,5374733.0,21837225.0,0.3378532211738168,0.02308172431658433,7.0,0.3637464800260074,1708.0,804735.0,1047841.0,14152701.0,14057589.0,16567594.0,30328115.0,5325406.0,5640654.0,25490419.0,0.5891062999250223,0.05560610641858907,3.0,0.6165711810658808,10236.0,785953.0,1181225.0,11623611.0,11956289.0,16567594.0,30328115.0,4533695.0,4986486.0,24866004.0,0.5183819690414915,0.03462261492660841,0.0,0.5413453516545613,30750.0,415235.0,560012.0,136108.0,294623.0,17979.0,4522940357.0,174586.0,185770.0,41509.0,391994.0,83154.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
