,S_core0.decode.blockedCycles,S_core0.fetch.cycles,S_core0.numCycles,S_core0.numSimulatedInsts,S_core0.rename.LQFullEvents,S_core0.rename.unblockCycles,S_core0.rob.reads,S_core0.switch_cpus0.numRate,S_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core0.system.switch_cpus0.issueRate,S_core0.timesIdled,S_core0.l2cache.ReadReq.hits::total,S_core0.l2cache.demandAccesses::total,S_core1.decode.blockedCycles,S_core1.fetch.cycles,S_core1.numCycles,S_core1.numSimulatedInsts,S_core1.rename.LQFullEvents,S_core1.rename.unblockCycles,S_core1.rob.reads,S_core1.switch_cpus0.numRate,S_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core1.system.switch_cpus0.issueRate,S_core1.timesIdled,S_core1.l2cache.ReadReq.hits::total,S_core1.l2cache.demandAccesses::total,S_core2.decode.blockedCycles,S_core2.fetch.cycles,S_core2.numCycles,S_core2.numSimulatedInsts,S_core2.rename.LQFullEvents,S_core2.rename.unblockCycles,S_core2.rob.reads,S_core2.switch_cpus0.numRate,S_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core2.system.switch_cpus0.issueRate,S_core2.timesIdled,S_core2.l2cache.ReadReq.hits::total,S_core2.l2cache.demandAccesses::total,S_core3.decode.blockedCycles,S_core3.fetch.cycles,S_core3.numCycles,S_core3.numSimulatedInsts,S_core3.rename.LQFullEvents,S_core3.rename.unblockCycles,S_core3.rob.reads,S_core3.switch_cpus0.numRate,S_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core3.system.switch_cpus0.issueRate,S_core3.timesIdled,S_core3.l2cache.ReadReq.hits::total,S_core3.l2cache.demandAccesses::total,S_core3.ReadSharedReq.mshrMisses::total,S_core3.mem_ctrls.numStayReadState,S_core3.mem_ctrls.rdQLenPdf::3,S_core3.mem_ctrls.totGap,S_core3.system.l3.ReadSharedReq.accesses::total,S_core3.system.l3.demandAccesses::total,S_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,S_core3.system.l3.tags.totalRefs,S_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,NS_core0.decode.blockedCycles,NS_core0.fetch.cycles,NS_core0.numCycles,NS_core0.numSimulatedInsts,NS_core0.rename.LQFullEvents,NS_core0.rename.unblockCycles,NS_core0.rob.reads,NS_core0.switch_cpus0.numRate,NS_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core0.system.switch_cpus0.issueRate,NS_core0.timesIdled,NS_core0.l2cache.ReadReq.hits::total,NS_core0.l2cache.demandAccesses::total,NS_core1.decode.blockedCycles,NS_core1.fetch.cycles,NS_core1.numCycles,NS_core1.numSimulatedInsts,NS_core1.rename.LQFullEvents,NS_core1.rename.unblockCycles,NS_core1.rob.reads,NS_core1.switch_cpus0.numRate,NS_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core1.system.switch_cpus0.issueRate,NS_core1.timesIdled,NS_core1.l2cache.ReadReq.hits::total,NS_core1.l2cache.demandAccesses::total,NS_core2.decode.blockedCycles,NS_core2.fetch.cycles,NS_core2.numCycles,NS_core2.numSimulatedInsts,NS_core2.rename.LQFullEvents,NS_core2.rename.unblockCycles,NS_core2.rob.reads,NS_core2.switch_cpus0.numRate,NS_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core2.system.switch_cpus0.issueRate,NS_core2.timesIdled,NS_core2.l2cache.ReadReq.hits::total,NS_core2.l2cache.demandAccesses::total,NS_core3.decode.blockedCycles,NS_core3.fetch.cycles,NS_core3.numCycles,NS_core3.numSimulatedInsts,NS_core3.rename.LQFullEvents,NS_core3.rename.unblockCycles,NS_core3.rob.reads,NS_core3.switch_cpus0.numRate,NS_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core3.system.switch_cpus0.issueRate,NS_core3.timesIdled,NS_core3.l2cache.ReadReq.hits::total,NS_core3.l2cache.demandAccesses::total,NS_core3.ReadSharedReq.mshrMisses::total,NS_core3.mem_ctrls.numStayReadState,NS_core3.mem_ctrls.rdQLenPdf::3,NS_core3.mem_ctrls.totGap,NS_core3.system.l3.ReadSharedReq.accesses::total,NS_core3.system.l3.demandAccesses::total,NS_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,NS_core3.system.l3.tags.totalRefs,NS_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,Core0.L1.P0.degree,Core0.L1.P1.degree,Core0.L2.P0.degree,Core0.L2.P1.degree,Core1.L1.P0.degree,Core1.L1.P1.degree,Core1.L2.P0.degree,Core1.L2.P1.degree,Core2.L1.P0.degree,Core2.L1.P1.degree,Core2.L2.P0.degree,Core2.L2.P1.degree,Core3.L1.P0.degree,Core3.L1.P1.degree,Core3.L2.P0.degree,Core3.L2.P1.degree,LLC.P0.degree,LLC.P1.degree,LLC.P2.degree
mix50.alth_d25.0,14973078.0,14676020.0,18193640.0,82525437.0,5862375.0,6138278.0,27582597.0,0.574624044446301,0.06656812392612524,1424815.0,0.6015454851255714,756.0,835135.0,2365561.0,2251188.0,6514287.0,18193640.0,82525437.0,198161.0,704023.0,41773945.0,1.2827671647894539,0.005445809166472194,154768.0,1.3023695093450238,997.0,31088.0,156856.0,6902379.0,10496727.0,18193640.0,82525437.0,2143265.0,2490773.0,40719268.0,1.3613498453305661,0.012011774527838985,696346.0,1.3701655633507093,526.0,57997.0,841233.0,854872.0,6302103.0,18193640.0,82525437.0,14056.0,267268.0,51963743.0,1.8287650519632135,0.0004967132462123657,31020.0,1.8371262704989215,6624.0,8106.0,95883.0,90835.0,396053.0,11779.0,4966778214.0,274962.0,277063.0,306510.0,120986.0,309617.0,17450591.0,17106782.0,20514293.0,88929128.0,6531905.0,6843546.0,29986484.0,0.5275776259995897,0.10063513240623635,3397858.0,0.5514006746418216,881.0,834557.0,4253169.0,2632310.0,7317872.0,20514293.0,88929128.0,80783.0,778027.0,46742922.0,1.2736980016810717,0.006139220605584066,398335.0,1.2933266089160371,3417.0,37884.0,294503.0,12190114.0,14494987.0,20514293.0,88929128.0,7017602.0,7213561.0,44687659.0,1.243219690778522,0.010145616748783592,995605.0,1.249150872516055,588.0,84628.0,1230024.0,888209.0,7184886.0,20514293.0,88929128.0,15276.0,287768.0,59762864.0,1.8711709440827426,0.0006116886496022614,81856.0,1.8794908993451542,13018.0,1940.0,131965.0,119809.0,441228.0,7409.0,5599940403.0,319566.0,321320.0,2405794.0,836836.0,378089.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mix50.alth_d25.1,17450591.0,17106782.0,20514293.0,88929128.0,6531905.0,6843546.0,29986484.0,0.5275776259995897,0.10063513240623635,3397858.0,0.5514006746418216,881.0,834557.0,4253169.0,2632310.0,7317872.0,20514293.0,88929128.0,80783.0,778027.0,46742922.0,1.2736980016810717,0.006139220605584066,398335.0,1.2933266089160371,3417.0,37884.0,294503.0,12190114.0,14494987.0,20514293.0,88929128.0,7017602.0,7213561.0,44687659.0,1.243219690778522,0.010145616748783592,995605.0,1.249150872516055,588.0,84628.0,1230024.0,888209.0,7184886.0,20514293.0,88929128.0,15276.0,287768.0,59762864.0,1.8711709440827426,0.0006116886496022614,81856.0,1.8794908993451542,13018.0,1940.0,131965.0,119809.0,441228.0,7409.0,5599940403.0,319566.0,321320.0,2405794.0,836836.0,378089.0,14445580.0,14248149.0,17512087.0,77079532.0,5547079.0,5884985.0,27016522.0,0.5906386828708652,0.04498352487181758,0.0,0.6183322981435622,1030.0,833593.0,1228827.0,1640950.0,6010766.0,17512087.0,77079532.0,34675.0,467785.0,41267183.0,1.3345958137371063,0.004348783553919595,0.0,1.3549354226026857,3725.0,29695.0,87013.0,10864452.0,12636357.0,17512087.0,77079532.0,5647971.0,5845272.0,37058024.0,1.1830619046147954,0.016379118410849616,0.0,1.1886492455182527,641.0,68678.0,962906.0,767941.0,6117091.0,17512087.0,77079532.0,18499.0,251233.0,50777492.0,1.858904367023759,0.0005280122998240764,0.0,1.8672149698662415,18103.0,4640.0,76271.0,73304.0,355352.0,9542.0,4780056597.0,219288.0,224391.0,577057.0,589635.0,263432.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2
mix50.alth_d25.2,14445580.0,14248149.0,17512087.0,77079532.0,5547079.0,5884985.0,27016522.0,0.5906386828708652,0.04498352487181758,0.0,0.6183322981435622,1030.0,833593.0,1228827.0,1640950.0,6010766.0,17512087.0,77079532.0,34675.0,467785.0,41267183.0,1.3345958137371063,0.004348783553919595,0.0,1.3549354226026857,3725.0,29695.0,87013.0,10864452.0,12636357.0,17512087.0,77079532.0,5647971.0,5845272.0,37058024.0,1.1830619046147954,0.016379118410849616,0.0,1.1886492455182527,641.0,68678.0,962906.0,767941.0,6117091.0,17512087.0,77079532.0,18499.0,251233.0,50777492.0,1.858904367023759,0.0005280122998240764,0.0,1.8672149698662415,18103.0,4640.0,76271.0,73304.0,355352.0,9542.0,4780056597.0,219288.0,224391.0,577057.0,589635.0,263432.0,17434251.0,17090986.0,20496690.0,89346710.0,6503537.0,6818024.0,29972172.0,0.5275713785982029,0.10059930309411826,3408449.0,0.5514083005597489,1135.0,834968.0,4263143.0,2039354.0,7078426.0,20496690.0,89346710.0,60925.0,610634.0,48155471.0,1.327790194416757,0.005392599201722279,360231.0,1.3479838451964683,4212.0,34408.0,267679.0,12313901.0,14597065.0,20496690.0,89346710.0,6971009.0,7168742.0,44254580.0,1.2230781165153983,0.010213004514375994,943136.0,1.2288809559006844,693.0,82936.0,1213598.0,894472.0,7185365.0,20496690.0,89346710.0,12714.0,279569.0,59737635.0,1.8703079863138878,0.00040393200825937996,52454.0,1.8786795819227398,24352.0,5378.0,112955.0,110846.0,433473.0,7358.0,5592281000.0,301999.0,303377.0,2410470.0,797591.0,372064.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mix50.alth_d25.3,17434251.0,17090986.0,20496690.0,89346710.0,6503537.0,6818024.0,29972172.0,0.5275713785982029,0.10059930309411826,3408449.0,0.5514083005597489,1135.0,834968.0,4263143.0,2039354.0,7078426.0,20496690.0,89346710.0,60925.0,610634.0,48155471.0,1.327790194416757,0.005392599201722279,360231.0,1.3479838451964683,4212.0,34408.0,267679.0,12313901.0,14597065.0,20496690.0,89346710.0,6971009.0,7168742.0,44254580.0,1.2230781165153983,0.010213004514375994,943136.0,1.2288809559006844,693.0,82936.0,1213598.0,894472.0,7185365.0,20496690.0,89346710.0,12714.0,279569.0,59737635.0,1.8703079863138878,0.00040393200825937996,52454.0,1.8786795819227398,24352.0,5378.0,112955.0,110846.0,433473.0,7358.0,5592281000.0,301999.0,303377.0,2410470.0,797591.0,372064.0,14527500.0,14327610.0,17627066.0,78642931.0,5549658.0,5908798.0,27114087.0,0.5871566487582222,0.045369118802519606,0.0,0.6146739905552064,1409.0,833459.0,1231731.0,1660312.0,6043510.0,17627065.0,78642931.0,28932.0,473153.0,41569351.0,1.3355338509275367,0.004205715184598125,0.0,1.355699318065713,4581.0,30594.0,81153.0,9041411.0,12067597.0,17627065.0,78642931.0,1285566.0,3347151.0,36221187.0,1.1512575122404098,0.014026555021544346,0.0,1.160506754811422,1165.0,58972.0,717444.0,876640.0,6268241.0,17627065.0,78642931.0,23078.0,308856.0,51866763.0,1.8921110235878746,0.0005638135378031559,0.0,1.900162278859243,30424.0,5237.0,85798.0,88673.0,453202.0,10499.0,4816517266.0,295017.0,311800.0,843083.0,801610.0,351287.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2
mix50.alth_d25.4,14527500.0,14327610.0,17627066.0,78642931.0,5549658.0,5908798.0,27114087.0,0.5871566487582222,0.045369118802519606,0.0,0.6146739905552064,1409.0,833459.0,1231731.0,1660312.0,6043510.0,17627065.0,78642931.0,28932.0,473153.0,41569351.0,1.3355338509275367,0.004205715184598125,0.0,1.355699318065713,4581.0,30594.0,81153.0,9041411.0,12067597.0,17627065.0,78642931.0,1285566.0,3347151.0,36221187.0,1.1512575122404098,0.014026555021544346,0.0,1.160506754811422,1165.0,58972.0,717444.0,876640.0,6268241.0,17627065.0,78642931.0,23078.0,308856.0,51866763.0,1.8921110235878746,0.0005638135378031559,0.0,1.900162278859243,30424.0,5237.0,85798.0,88673.0,453202.0,10499.0,4816517266.0,295017.0,311800.0,843083.0,801610.0,351287.0,18774188.0,18482647.0,21938808.0,94689647.0,6367443.0,7627020.0,31647238.0,0.5060398905902271,0.0971665712183287,3346021.0,0.5277665951586795,1919.0,812958.0,4196346.0,2340224.0,7657591.0,21938808.0,94689647.0,55700.0,720532.0,51429880.0,1.323755465657022,0.005826516035226488,420510.0,1.3438487633421106,5038.0,38360.0,298832.0,7636078.0,12387603.0,21938808.0,94689647.0,2053023.0,2374440.0,49480317.0,1.3811188374500565,0.009047773884663188,1008217.0,1.3905288290959108,1202.0,69310.0,1015183.0,4255116.0,9380437.0,21910868.0,94689647.0,22983.0,1445452.0,57669085.0,1.6328552113955503,0.0021514120540445563,187868.0,1.639498124857491,41358.0,13303.0,265914.0,166435.0,551100.0,7384.0,5989500153.0,474089.0,486613.0,3792254.0,1051026.0,482713.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mix50.alth_d25.5,18774188.0,18482647.0,21938808.0,94689647.0,6367443.0,7627020.0,31647238.0,0.5060398905902271,0.0971665712183287,3346021.0,0.5277665951586795,1919.0,812958.0,4196346.0,2340224.0,7657591.0,21938808.0,94689647.0,55700.0,720532.0,51429880.0,1.323755465657022,0.005826516035226488,420510.0,1.3438487633421106,5038.0,38360.0,298832.0,7636078.0,12387603.0,21938808.0,94689647.0,2053023.0,2374440.0,49480317.0,1.3811188374500565,0.009047773884663188,1008217.0,1.3905288290959108,1202.0,69310.0,1015183.0,4255116.0,9380437.0,21910868.0,94689647.0,22983.0,1445452.0,57669085.0,1.6328552113955503,0.0021514120540445563,187868.0,1.639498124857491,41358.0,13303.0,265914.0,166435.0,551100.0,7384.0,5989500153.0,474089.0,486613.0,3792254.0,1051026.0,482713.0,14434652.0,14235959.0,17546357.0,95929053.0,5551016.0,5901115.0,27012968.0,0.5894330657925175,0.04531354945456452,0.0,0.6170856434757369,2231.0,832606.0,1230004.0,1378961.0,5885804.0,17546358.0,95929053.0,21395.0,344408.0,41633470.0,1.3490807038132928,0.0032856841998465842,0.0,1.3701852543986621,5396.0,28315.0,70988.0,6293267.0,9962354.0,17546357.0,95929053.0,1545890.0,1838884.0,39477801.0,1.3749324147456934,0.01299015834741933,0.0,1.3844938296878377,1259.0,55059.0,788329.0,636806.0,7502650.0,17546357.0,95929053.0,113184.0,451768.0,62237449.0,2.6615210781360483,0.0015956857109521007,0.0,2.662144113447595,41949.0,5425.0,87060.0,72701.0,369750.0,9185.0,4789763979.0,273948.0,280859.0,599547.0,682126.0,284372.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2
mix50.alth_d25.6,14434652.0,14235959.0,17546357.0,95929053.0,5551016.0,5901115.0,27012968.0,0.5894330657925175,0.04531354945456452,0.0,0.6170856434757369,2231.0,832606.0,1230004.0,1378961.0,5885804.0,17546358.0,95929053.0,21395.0,344408.0,41633470.0,1.3490807038132928,0.0032856841998465842,0.0,1.3701852543986621,5396.0,28315.0,70988.0,6293267.0,9962354.0,17546357.0,95929053.0,1545890.0,1838884.0,39477801.0,1.3749324147456934,0.01299015834741933,0.0,1.3844938296878377,1259.0,55059.0,788329.0,636806.0,7502650.0,17546357.0,95929053.0,113184.0,451768.0,62237449.0,2.6615210781360483,0.0015956857109521007,0.0,2.662144113447595,41949.0,5425.0,87060.0,72701.0,369750.0,9185.0,4789763979.0,273948.0,280859.0,599547.0,682126.0,284372.0,17449880.0,17100554.0,20507266.0,106959670.0,6474486.0,6786128.0,29987285.0,0.5272567781585317,0.1005126114880452,3423149.0,0.5510693624396348,2349.0,834867.0,4270003.0,1689956.0,6908091.0,20507266.0,106959670.0,47499.0,437660.0,48573841.0,1.345115823825565,0.004258258477647868,292168.0,1.3660165621297349,5931.0,31772.0,231686.0,10455695.0,13490916.0,20507267.0,106959670.0,5301311.0,5570935.0,44966107.0,1.2795202305602205,0.009883447975958358,979891.0,1.2865464715507922,1537.0,77217.0,1134869.0,460042.0,8748198.0,20507268.0,106959670.0,86367.0,127311.0,71270625.0,2.593643239070168,0.0009556856950274396,202508.0,2.5950872636959734,42447.0,2360.0,85666.0,109397.0,433146.0,7166.0,5598825692.0,325872.0,327091.0,2518641.0,948501.0,371815.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mix50.alth_d25.7,17449880.0,17100554.0,20507266.0,106959670.0,6474486.0,6786128.0,29987285.0,0.5272567781585317,0.1005126114880452,3423149.0,0.5510693624396348,2349.0,834867.0,4270003.0,1689956.0,6908091.0,20507266.0,106959670.0,47499.0,437660.0,48573841.0,1.345115823825565,0.004258258477647868,292168.0,1.3660165621297349,5931.0,31772.0,231686.0,10455695.0,13490916.0,20507267.0,106959670.0,5301311.0,5570935.0,44966107.0,1.2795202305602205,0.009883447975958358,979891.0,1.2865464715507922,1537.0,77217.0,1134869.0,460042.0,8748198.0,20507268.0,106959670.0,86367.0,127311.0,71270625.0,2.593643239070168,0.0009556856950274396,202508.0,2.5950872636959734,42447.0,2360.0,85666.0,109397.0,433146.0,7166.0,5598825692.0,325872.0,327091.0,2518641.0,948501.0,371815.0,14631293.0,14433869.0,17700353.0,90968279.0,5624995.0,5979542.0,27204048.0,0.5848592398129009,0.045454689217422545,19.0,0.6122215189719663,2529.0,833451.0,1231742.0,1756752.0,6120185.0,17700354.0,90968279.0,20111.0,519257.0,41684025.0,1.3357135682145114,0.004379968109461379,0.0,1.3559337852790967,6249.0,30734.0,88257.0,10987304.0,12766206.0,17700353.0,90968279.0,5724474.0,5923470.0,37353701.0,1.1776421069116532,0.016347558792507846,0.0,1.1832648196338231,1664.0,69212.0,970114.0,890791.0,7879730.0,17700353.0,90968279.0,291859.0,394800.0,60111418.0,2.5127242942556003,0.0012946351175607655,0.0,2.5151235684395674,42538.0,4295.0,47274.0,78135.0,364971.0,9786.0,4832172886.0,227329.0,231366.0,559915.0,685756.0,264159.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2
mix50.alth_d25.8,14631293.0,14433869.0,17700353.0,90968279.0,5624995.0,5979542.0,27204048.0,0.5848592398129009,0.045454689217422545,19.0,0.6122215189719663,2529.0,833451.0,1231742.0,1756752.0,6120185.0,17700354.0,90968279.0,20111.0,519257.0,41684025.0,1.3357135682145114,0.004379968109461379,0.0,1.3559337852790967,6249.0,30734.0,88257.0,10987304.0,12766206.0,17700353.0,90968279.0,5724474.0,5923470.0,37353701.0,1.1776421069116532,0.016347558792507846,0.0,1.1832648196338231,1664.0,69212.0,970114.0,890791.0,7879730.0,17700353.0,90968279.0,291859.0,394800.0,60111418.0,2.5127242942556003,0.0012946351175607655,0.0,2.5151235684395674,42538.0,4295.0,47274.0,78135.0,364971.0,9786.0,4832172886.0,227329.0,231366.0,559915.0,685756.0,264159.0,17430767.0,17085715.0,20483215.0,105030260.0,6491800.0,6808600.0,29961961.0,0.5282317741624056,0.1008240088445647,3422036.0,0.5520803741014289,2621.0,835003.0,4268132.0,2149527.0,7110070.0,20483217.0,105030260.0,48687.0,663082.0,47932325.0,1.3201264723212178,0.005822528849893517,390989.0,1.3404988581627584,6765.0,36175.0,279213.0,12238088.0,14500532.0,20483215.0,105030260.0,6929950.0,7124536.0,44440056.0,1.2343583270497331,0.010302366428969187,948534.0,1.2402191257573578,1715.0,83788.0,1234567.0,1094389.0,9228552.0,20483215.0,105030260.0,437409.0,685322.0,70162087.0,2.5511651369182036,0.001321626814105164,278048.0,2.5534658499654475,42573.0,2261.0,130425.0,112069.0,432822.0,7249.0,5591993024.0,308093.0,309487.0,2372114.0,797831.0,370344.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mix50.alth_d25.9,17430767.0,17085715.0,20483215.0,105030260.0,6491800.0,6808600.0,29961961.0,0.5282317741624056,0.1008240088445647,3422036.0,0.5520803741014289,2621.0,835003.0,4268132.0,2149527.0,7110070.0,20483217.0,105030260.0,48687.0,663082.0,47932325.0,1.3201264723212178,0.005822528849893517,390989.0,1.3404988581627584,6765.0,36175.0,279213.0,12238088.0,14500532.0,20483215.0,105030260.0,6929950.0,7124536.0,44440056.0,1.2343583270497331,0.010302366428969187,948534.0,1.2402191257573578,1715.0,83788.0,1234567.0,1094389.0,9228552.0,20483215.0,105030260.0,437409.0,685322.0,70162087.0,2.5511651369182036,0.001321626814105164,278048.0,2.5534658499654475,42573.0,2261.0,130425.0,112069.0,432822.0,7249.0,5591993024.0,308093.0,309487.0,2372114.0,797831.0,370344.0,14548527.0,14347728.0,17621314.0,88221240.0,5593214.0,5948215.0,27125594.0,0.5869651377871139,0.04589434430289132,0.0,0.6144736992939346,2819.0,833543.0,1234597.0,1817244.0,6117630.0,17621314.0,88221240.0,25173.0,540864.0,41352450.0,1.3273615690634648,0.004545478920302077,0.0,1.3477295166523904,7174.0,32037.0,92263.0,11614114.0,13604032.0,17621314.0,88221240.0,3493069.0,5534414.0,34781130.0,1.0371229410020162,0.01608265789272104,14.0,1.0443672929271903,2156.0,65244.0,803130.0,1304190.0,8036266.0,17621314.0,88221240.0,444928.0,674078.0,59390747.0,2.490175761013055,0.0014567248847276192,0.0,2.4942411786090415,42642.0,15108.0,61892.0,94453.0,452336.0,10721.0,4810574000.0,293725.0,309161.0,793329.0,777939.0,343591.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2
