,S_core0.decode.blockedCycles,S_core0.fetch.cycles,S_core0.numCycles,S_core0.numSimulatedInsts,S_core0.rename.LQFullEvents,S_core0.rename.unblockCycles,S_core0.rob.reads,S_core0.switch_cpus0.numRate,S_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core0.system.switch_cpus0.issueRate,S_core0.timesIdled,S_core0.l2cache.ReadReq.hits::total,S_core0.l2cache.demandAccesses::total,S_core1.decode.blockedCycles,S_core1.fetch.cycles,S_core1.numCycles,S_core1.numSimulatedInsts,S_core1.rename.LQFullEvents,S_core1.rename.unblockCycles,S_core1.rob.reads,S_core1.switch_cpus0.numRate,S_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core1.system.switch_cpus0.issueRate,S_core1.timesIdled,S_core1.l2cache.ReadReq.hits::total,S_core1.l2cache.demandAccesses::total,S_core2.decode.blockedCycles,S_core2.fetch.cycles,S_core2.numCycles,S_core2.numSimulatedInsts,S_core2.rename.LQFullEvents,S_core2.rename.unblockCycles,S_core2.rob.reads,S_core2.switch_cpus0.numRate,S_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core2.system.switch_cpus0.issueRate,S_core2.timesIdled,S_core2.l2cache.ReadReq.hits::total,S_core2.l2cache.demandAccesses::total,S_core3.decode.blockedCycles,S_core3.fetch.cycles,S_core3.numCycles,S_core3.numSimulatedInsts,S_core3.rename.LQFullEvents,S_core3.rename.unblockCycles,S_core3.rob.reads,S_core3.switch_cpus0.numRate,S_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core3.system.switch_cpus0.issueRate,S_core3.timesIdled,S_core3.l2cache.ReadReq.hits::total,S_core3.l2cache.demandAccesses::total,S_core3.ReadSharedReq.mshrMisses::total,S_core3.mem_ctrls.numStayReadState,S_core3.mem_ctrls.rdQLenPdf::3,S_core3.mem_ctrls.totGap,S_core3.system.l3.ReadSharedReq.accesses::total,S_core3.system.l3.demandAccesses::total,S_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,S_core3.system.l3.tags.totalRefs,S_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,NS_core0.decode.blockedCycles,NS_core0.fetch.cycles,NS_core0.numCycles,NS_core0.numSimulatedInsts,NS_core0.rename.LQFullEvents,NS_core0.rename.unblockCycles,NS_core0.rob.reads,NS_core0.switch_cpus0.numRate,NS_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core0.system.switch_cpus0.issueRate,NS_core0.timesIdled,NS_core0.l2cache.ReadReq.hits::total,NS_core0.l2cache.demandAccesses::total,NS_core1.decode.blockedCycles,NS_core1.fetch.cycles,NS_core1.numCycles,NS_core1.numSimulatedInsts,NS_core1.rename.LQFullEvents,NS_core1.rename.unblockCycles,NS_core1.rob.reads,NS_core1.switch_cpus0.numRate,NS_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core1.system.switch_cpus0.issueRate,NS_core1.timesIdled,NS_core1.l2cache.ReadReq.hits::total,NS_core1.l2cache.demandAccesses::total,NS_core2.decode.blockedCycles,NS_core2.fetch.cycles,NS_core2.numCycles,NS_core2.numSimulatedInsts,NS_core2.rename.LQFullEvents,NS_core2.rename.unblockCycles,NS_core2.rob.reads,NS_core2.switch_cpus0.numRate,NS_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core2.system.switch_cpus0.issueRate,NS_core2.timesIdled,NS_core2.l2cache.ReadReq.hits::total,NS_core2.l2cache.demandAccesses::total,NS_core3.decode.blockedCycles,NS_core3.fetch.cycles,NS_core3.numCycles,NS_core3.numSimulatedInsts,NS_core3.rename.LQFullEvents,NS_core3.rename.unblockCycles,NS_core3.rob.reads,NS_core3.switch_cpus0.numRate,NS_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core3.system.switch_cpus0.issueRate,NS_core3.timesIdled,NS_core3.l2cache.ReadReq.hits::total,NS_core3.l2cache.demandAccesses::total,NS_core3.ReadSharedReq.mshrMisses::total,NS_core3.mem_ctrls.numStayReadState,NS_core3.mem_ctrls.rdQLenPdf::3,NS_core3.mem_ctrls.totGap,NS_core3.system.l3.ReadSharedReq.accesses::total,NS_core3.system.l3.demandAccesses::total,NS_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,NS_core3.system.l3.tags.totalRefs,NS_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,Core0.L1.P0.degree,Core0.L1.P1.degree,Core0.L2.P0.degree,Core0.L2.P1.degree,Core1.L1.P0.degree,Core1.L1.P1.degree,Core1.L2.P0.degree,Core1.L2.P1.degree,Core2.L1.P0.degree,Core2.L1.P1.degree,Core2.L2.P0.degree,Core2.L2.P1.degree,Core3.L1.P0.degree,Core3.L1.P1.degree,Core3.L2.P0.degree,Core3.L2.P1.degree,LLC.P0.degree,LLC.P1.degree,LLC.P2.degree
mix56.low_d0.0,717413.0,3044944.0,8582639.0,36922249.0,168290.0,378434.0,21277186.0,1.6127376439810646,0.004017813691930421,102416.0,1.625156784527463,1274.0,73532.0,160615.0,5643617.0,5707635.0,8582644.0,36922249.0,2830590.0,2952456.0,11375936.0,0.44847205593055006,0.048734377051537756,280772.0,0.4579981413652949,10229.0,72376.0,305130.0,6061141.0,6480819.0,8582639.0,36922249.0,21316.0,3354930.0,18243774.0,1.2893043736314669,0.00766999330505115,353259.0,1.2909958114281632,367.0,13407.0,664921.0,1033431.0,3285762.0,8582639.0,36922249.0,123808.0,305530.0,23369702.0,1.7381088730400986,0.0025299483352798444,116248.0,1.7566735592630658,5920.0,41145.0,154409.0,99813.0,354134.0,5199.0,2342990286.0,455661.0,493727.0,394959.0,84919.0,285668.0,4035856.0,6386910.0,11644791.0,30462468.0,132499.0,1201959.0,24696712.0,1.1987160611126468,0.007274993510333864,0.0,1.2079693830486096,2103.0,74158.0,155869.0,9682209.0,9891619.0,11644792.0,30462468.0,4423417.0,4520494.0,14430659.0,0.2657120024127524,0.06745875447242218,0.0,0.26918187976221475,12072.0,17943.0,88417.0,9897111.0,10058965.0,11644791.0,30462468.0,5844.0,1352727.0,19182970.0,0.7764062060023232,0.029645864270981655,0.0,0.7773298808024979,419.0,10202.0,363667.0,6199241.0,7348403.0,10982468.0,30462468.0,25760.0,2977719.0,22211546.0,1.092772772021735,0.016985771367767015,0.0,1.0944595513503887,11657.0,10158.0,150863.0,125637.0,448932.0,31323.0,3179011017.0,176252.0,412937.0,0.0,959587.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix56.low_d0.1,4035856.0,6386910.0,11644791.0,30462468.0,132499.0,1201959.0,24696712.0,1.1987160611126468,0.007274993510333864,0.0,1.2079693830486096,2103.0,74158.0,155869.0,9682209.0,9891619.0,11644792.0,30462468.0,4423417.0,4520494.0,14430659.0,0.2657120024127524,0.06745875447242218,0.0,0.26918187976221475,12072.0,17943.0,88417.0,9897111.0,10058965.0,11644791.0,30462468.0,5844.0,1352727.0,19182970.0,0.7764062060023232,0.029645864270981655,0.0,0.7773298808024979,419.0,10202.0,363667.0,6199241.0,7348403.0,10982468.0,30462468.0,25760.0,2977719.0,22211546.0,1.092772772021735,0.016985771367767015,0.0,1.0944595513503887,11657.0,10158.0,150863.0,125637.0,448932.0,31323.0,3179011017.0,176252.0,412937.0,0.0,959587.0,18.0,417890.0,2794357.0,8055745.0,34445100.0,122944.0,226732.0,20946125.0,1.7090966757264536,0.002870284337376629,0.0,1.7223279783558194,2401.0,71722.0,104244.0,5954411.0,6301794.0,8055745.0,34445100.0,2896211.0,3016209.0,11438999.0,0.4490520740167421,0.06933653858854297,0.0,0.4535719539285317,12974.0,17397.0,99270.0,6742398.0,6870825.0,8055745.0,34445100.0,3701.0,961601.0,13743139.0,0.8501973436348842,0.029721959240967495,0.0,0.851190796133691,419.0,7657.0,276280.0,1727375.0,4240736.0,8055745.0,34445100.0,194610.0,1308207.0,24243175.0,2.1332519835223187,0.006375439934787757,0.0,2.134912289304093,12307.0,6249.0,60426.0,67866.0,263846.0,21099.0,2199219765.0,131737.0,275524.0,0.0,456070.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix56.low_d0.2,417890.0,2794357.0,8055745.0,34445100.0,122944.0,226732.0,20946125.0,1.7090966757264536,0.002870284337376629,0.0,1.7223279783558194,2401.0,71722.0,104244.0,5954411.0,6301794.0,8055745.0,34445100.0,2896211.0,3016209.0,11438999.0,0.4490520740167421,0.06933653858854297,0.0,0.4535719539285317,12974.0,17397.0,99270.0,6742398.0,6870825.0,8055745.0,34445100.0,3701.0,961601.0,13743139.0,0.8501973436348842,0.029721959240967495,0.0,0.851190796133691,419.0,7657.0,276280.0,1727375.0,4240736.0,8055745.0,34445100.0,194610.0,1308207.0,24243175.0,2.1332519835223187,0.006375439934787757,0.0,2.134912289304093,12307.0,6249.0,60426.0,67866.0,263846.0,21099.0,2199219765.0,131737.0,275524.0,0.0,456070.0,0.0,423481.0,2795880.0,8064848.0,28942379.0,122396.0,224741.0,20955404.0,1.707671985882437,0.0029013720682103212,0.0,1.720973910481636,2775.0,72557.0,105665.0,5759782.0,6014882.0,8064854.0,28942379.0,2704560.0,2803588.0,11122648.0,0.4251861224022158,0.06498729390052732,0.0,0.4316277765226748,17244.0,38368.0,124730.0,6741981.0,6869804.0,8064848.0,28942379.0,3666.0,940008.0,13724044.0,0.8363635619666979,0.02976223376975934,0.0,0.8373695325689957,451.0,7731.0,272958.0,2387590.0,3973011.0,8064848.0,28942379.0,438861.0,974167.0,19639619.0,1.4405919367606184,0.003945143507233689,0.0,1.4611960448603618,15404.0,59449.0,110511.0,71198.0,256344.0,20049.0,2201699940.0,120292.0,254373.0,0.0,451373.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix56.low_d0.3,423481.0,2795880.0,8064848.0,28942379.0,122396.0,224741.0,20955404.0,1.707671985882437,0.0029013720682103212,0.0,1.720973910481636,2775.0,72557.0,105665.0,5759782.0,6014882.0,8064854.0,28942379.0,2704560.0,2803588.0,11122648.0,0.4251861224022158,0.06498729390052732,0.0,0.4316277765226748,17244.0,38368.0,124730.0,6741981.0,6869804.0,8064848.0,28942379.0,3666.0,940008.0,13724044.0,0.8363635619666979,0.02976223376975934,0.0,0.8373695325689957,451.0,7731.0,272958.0,2387590.0,3973011.0,8064848.0,28942379.0,438861.0,974167.0,19639619.0,1.4405919367606184,0.003945143507233689,0.0,1.4611960448603618,15404.0,59449.0,110511.0,71198.0,256344.0,20049.0,2201699940.0,120292.0,254373.0,0.0,451373.0,0.0,426390.0,2797104.0,8063619.0,32450548.0,124551.0,226577.0,20952374.0,1.707880543463177,0.0029073567075863288,0.0,1.7212321167455953,3150.0,72941.0,106229.0,3783256.0,4599425.0,8063620.0,32450548.0,1601068.0,1805066.0,14023117.0,0.7986617672955819,0.06409316835301529,0.0,0.8081041765360967,21622.0,47084.0,195763.0,6678650.0,6817793.0,8063619.0,32450548.0,3721.0,946940.0,13990120.0,0.888891203813077,0.02956225892113617,0.0,0.8899337877942893,484.0,7998.0,285664.0,1966809.0,3762626.0,8063619.0,32450548.0,419675.0,940770.0,21330958.0,1.6122045200796318,0.0038495610330312475,0.0,1.6340443416287402,17591.0,68620.0,120879.0,54454.0,229509.0,19173.0,2201384060.0,117599.0,254823.0,0.0,388115.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix56.low_d0.4,426390.0,2797104.0,8063619.0,32450548.0,124551.0,226577.0,20952374.0,1.707880543463177,0.0029073567075863288,0.0,1.7212321167455953,3150.0,72941.0,106229.0,3783256.0,4599425.0,8063620.0,32450548.0,1601068.0,1805066.0,14023117.0,0.7986617672955819,0.06409316835301529,0.0,0.8081041765360967,21622.0,47084.0,195763.0,6678650.0,6817793.0,8063619.0,32450548.0,3721.0,946940.0,13990120.0,0.888891203813077,0.02956225892113617,0.0,0.8899337877942893,484.0,7998.0,285664.0,1966809.0,3762626.0,8063619.0,32450548.0,419675.0,940770.0,21330958.0,1.6122045200796318,0.0038495610330312475,0.0,1.6340443416287402,17591.0,68620.0,120879.0,54454.0,229509.0,19173.0,2201384060.0,117599.0,254823.0,0.0,388115.0,0.0,420867.0,2794206.0,8050912.0,32187404.0,124187.0,226129.0,20939273.0,1.7105643435178524,0.00289774294646487,0.0,1.7239547519585359,3452.0,72686.0,105521.0,4071370.0,4920919.0,8050912.0,32187404.0,1731820.0,1926333.0,13873545.0,0.7684449910767873,0.06413771907350309,0.0,0.7769973140931115,23223.0,24356.0,152741.0,6649029.0,6793391.0,8050912.0,32187404.0,2804.0,989430.0,14091633.0,0.9056329270522395,0.02970213029029324,0.0,0.9066897017381385,484.0,8114.0,293946.0,1971086.0,3775896.0,8050914.0,32187404.0,425666.0,883173.0,21298599.0,1.610753511961499,0.003665098898951748,0.0,1.6328377125876639,19528.0,67792.0,118295.0,57277.0,233218.0,19923.0,2197853965.0,143281.0,284246.0,0.0,400296.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix56.low_d0.5,420867.0,2794206.0,8050912.0,32187404.0,124187.0,226129.0,20939273.0,1.7105643435178524,0.00289774294646487,0.0,1.7239547519585359,3452.0,72686.0,105521.0,4071370.0,4920919.0,8050912.0,32187404.0,1731820.0,1926333.0,13873545.0,0.7684449910767873,0.06413771907350309,0.0,0.7769973140931115,23223.0,24356.0,152741.0,6649029.0,6793391.0,8050912.0,32187404.0,2804.0,989430.0,14091633.0,0.9056329270522395,0.02970213029029324,0.0,0.9066897017381385,484.0,8114.0,293946.0,1971086.0,3775896.0,8050914.0,32187404.0,425666.0,883173.0,21298599.0,1.610753511961499,0.003665098898951748,0.0,1.6328377125876639,19528.0,67792.0,118295.0,57277.0,233218.0,19923.0,2197853965.0,143281.0,284246.0,0.0,400296.0,0.0,425147.0,2796224.0,8061950.0,30811095.0,123663.0,225861.0,20949754.0,1.7082948914344545,0.002905273049388582,0.0,1.7217121167955642,3824.0,72975.0,106206.0,5614340.0,5846104.0,8061950.0,30811095.0,2762597.0,2880057.0,11627531.0,0.49800333666172575,0.07421569147359851,0.0,0.5055307958992551,26966.0,40524.0,148415.0,6712746.0,6849798.0,8061950.0,30811095.0,5033.0,946455.0,13815290.0,0.8562676523669832,0.029754270374952187,0.0,0.8572891173971557,522.0,7851.0,278071.0,2071298.0,3874309.0,8061950.0,30811095.0,440853.0,900944.0,21168842.0,1.6014331520289755,0.0042419332138958305,0.0,1.6228754829786838,21576.0,65807.0,118607.0,66944.0,248854.0,19764.0,2200814035.0,131730.0,266314.0,0.0,445992.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix56.low_d0.6,425147.0,2796224.0,8061950.0,30811095.0,123663.0,225861.0,20949754.0,1.7082948914344545,0.002905273049388582,0.0,1.7217121167955642,3824.0,72975.0,106206.0,5614340.0,5846104.0,8061950.0,30811095.0,2762597.0,2880057.0,11627531.0,0.49800333666172575,0.07421569147359851,0.0,0.5055307958992551,26966.0,40524.0,148415.0,6712746.0,6849798.0,8061950.0,30811095.0,5033.0,946455.0,13815290.0,0.8562676523669832,0.029754270374952187,0.0,0.8572891173971557,522.0,7851.0,278071.0,2071298.0,3874309.0,8061950.0,30811095.0,440853.0,900944.0,21168842.0,1.6014331520289755,0.0042419332138958305,0.0,1.6228754829786838,21576.0,65807.0,118607.0,66944.0,248854.0,19764.0,2200814035.0,131730.0,266314.0,0.0,445992.0,0.0,420122.0,2793420.0,8050138.0,32722594.0,124733.0,226952.0,20938121.0,1.7107299278596217,0.0029048085735212223,0.0,1.7241300708136928,4125.0,72740.0,105659.0,4105557.0,4679446.0,8050142.0,32722594.0,1823127.0,2004431.0,13833397.0,0.7743736694334088,0.06654674183873255,0.0,0.7862068768476382,32962.0,66447.0,224189.0,6668288.0,6812318.0,8050138.0,32722594.0,2676.0,982235.0,13995828.0,0.8892615257030376,0.029706912550764703,0.0,0.8903028743109745,522.0,7989.0,288434.0,2061399.0,3898995.0,8050138.0,32722594.0,380747.0,785770.0,21379995.0,1.6360344381673955,0.00340807654091383,0.0,1.6575236349985554,24077.0,60064.0,114363.0,54509.0,229101.0,19198.0,2197826393.0,146122.0,283648.0,0.0,410904.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix56.low_d0.7,420122.0,2793420.0,8050138.0,32722594.0,124733.0,226952.0,20938121.0,1.7107299278596217,0.0029048085735212223,0.0,1.7241300708136928,4125.0,72740.0,105659.0,4105557.0,4679446.0,8050142.0,32722594.0,1823127.0,2004431.0,13833397.0,0.7743736694334088,0.06654674183873255,0.0,0.7862068768476382,32962.0,66447.0,224189.0,6668288.0,6812318.0,8050138.0,32722594.0,2676.0,982235.0,13995828.0,0.8892615257030376,0.029706912550764703,0.0,0.8903028743109745,522.0,7989.0,288434.0,2061399.0,3898995.0,8050138.0,32722594.0,380747.0,785770.0,21379995.0,1.6360344381673955,0.00340807654091383,0.0,1.6575236349985554,24077.0,60064.0,114363.0,54509.0,229101.0,19198.0,2197826393.0,146122.0,283648.0,0.0,410904.0,0.0,427814.0,2797737.0,8063462.0,33495457.0,124262.0,225855.0,20950405.0,1.7078359146480755,0.00290801803310308,0.0,1.7212056062272012,4490.0,72925.0,106212.0,3570646.0,4587561.0,8063464.0,33495457.0,1395339.0,1604748.0,14315474.0,0.8309110079737443,0.06284671043977567,0.0,0.8394722169033061,34881.0,23516.0,159601.0,6641669.0,6787073.0,8063462.0,33495457.0,1618.0,947923.0,14145286.0,0.9074444698815471,0.02955874771631096,0.0,0.9085165900205148,554.0,8203.0,291637.0,1786043.0,3752755.0,8063462.0,33495457.0,302164.0,611973.0,21901183.0,1.7115638419329067,0.0036460051127403486,0.0,1.7327233637363206,27153.0,53507.0,114425.0,55035.0,226456.0,19583.0,2201333607.0,129263.0,268007.0,0.0,418976.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix56.low_d0.8,427814.0,2797737.0,8063462.0,33495457.0,124262.0,225855.0,20950405.0,1.7078359146480755,0.00290801803310308,0.0,1.7212056062272012,4490.0,72925.0,106212.0,3570646.0,4587561.0,8063464.0,33495457.0,1395339.0,1604748.0,14315474.0,0.8309110079737443,0.06284671043977567,0.0,0.8394722169033061,34881.0,23516.0,159601.0,6641669.0,6787073.0,8063462.0,33495457.0,1618.0,947923.0,14145286.0,0.9074444698815471,0.02955874771631096,0.0,0.9085165900205148,554.0,8203.0,291637.0,1786043.0,3752755.0,8063462.0,33495457.0,302164.0,611973.0,21901183.0,1.7115638419329067,0.0036460051127403486,0.0,1.7327233637363206,27153.0,53507.0,114425.0,55035.0,226456.0,19583.0,2201333607.0,129263.0,268007.0,0.0,418976.0,0.0,422519.0,2796244.0,8052175.0,32767813.0,125701.0,227863.0,20941755.0,1.7103006330587698,0.002896568484769702,0.0,1.723697261919916,4789.0,72693.0,105490.0,4893266.0,5538300.0,8052177.0,32767813.0,2289127.0,2449168.0,12874914.0,0.6349906366936544,0.06680069496777408,0.0,0.6422240842445466,36045.0,22687.0,133239.0,6674137.0,6815664.0,8052175.0,32767813.0,6386.0,969035.0,13985591.0,0.8727140182621466,0.029707353609929647,0.0,0.8737519986835854,554.0,7981.0,276514.0,1706051.0,3727882.0,8052175.0,32767813.0,287532.0,637027.0,22196714.0,1.7550012263767243,0.0032594336519908788,0.0,1.7768467525854816,30117.0,53803.0,113142.0,64216.0,240981.0,20100.0,2198239000.0,126766.0,263592.0,0.0,479363.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix56.low_d0.9,422519.0,2796244.0,8052175.0,32767813.0,125701.0,227863.0,20941755.0,1.7103006330587698,0.002896568484769702,0.0,1.723697261919916,4789.0,72693.0,105490.0,4893266.0,5538300.0,8052177.0,32767813.0,2289127.0,2449168.0,12874914.0,0.6349906366936544,0.06680069496777408,0.0,0.6422240842445466,36045.0,22687.0,133239.0,6674137.0,6815664.0,8052175.0,32767813.0,6386.0,969035.0,13985591.0,0.8727140182621466,0.029707353609929647,0.0,0.8737519986835854,554.0,7981.0,276514.0,1706051.0,3727882.0,8052175.0,32767813.0,287532.0,637027.0,22196714.0,1.7550012263767243,0.0032594336519908788,0.0,1.7768467525854816,30117.0,53803.0,113142.0,64216.0,240981.0,20100.0,2198239000.0,126766.0,263592.0,0.0,479363.0,0.0,426751.0,2785938.0,8024913.0,32069953.0,125995.0,229141.0,20873941.0,1.7129623710562345,0.0029282079671452093,0.0,1.7256867457628513,5165.0,73163.0,106631.0,4673015.0,5331216.0,8024913.0,32069953.0,2047870.0,2204334.0,12530235.0,0.6131014753680195,0.06345622687316378,0.0,0.6198302710571442,38602.0,24291.0,129726.0,6660951.0,6794326.0,8024913.0,32069953.0,3014.0,952443.0,13868707.0,0.8733702159761731,0.029748322522887626,0.0,0.8744162086243178,589.0,7979.0,283546.0,1794635.0,3751018.0,8024913.0,32069953.0,329681.0,704343.0,21855754.0,1.7116703944329366,0.003815633523977641,0.0,1.73435425405858,32966.0,57612.0,117764.0,63141.0,239575.0,19736.0,2190795000.0,117094.0,252286.0,0.0,447462.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
