,S_core0.decode.blockedCycles,S_core0.fetch.cycles,S_core0.numCycles,S_core0.numSimulatedInsts,S_core0.rename.LQFullEvents,S_core0.rename.unblockCycles,S_core0.rob.reads,S_core0.switch_cpus0.numRate,S_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core0.system.switch_cpus0.issueRate,S_core0.timesIdled,S_core0.l2cache.ReadReq.hits::total,S_core0.l2cache.demandAccesses::total,S_core1.decode.blockedCycles,S_core1.fetch.cycles,S_core1.numCycles,S_core1.numSimulatedInsts,S_core1.rename.LQFullEvents,S_core1.rename.unblockCycles,S_core1.rob.reads,S_core1.switch_cpus0.numRate,S_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core1.system.switch_cpus0.issueRate,S_core1.timesIdled,S_core1.l2cache.ReadReq.hits::total,S_core1.l2cache.demandAccesses::total,S_core2.decode.blockedCycles,S_core2.fetch.cycles,S_core2.numCycles,S_core2.numSimulatedInsts,S_core2.rename.LQFullEvents,S_core2.rename.unblockCycles,S_core2.rob.reads,S_core2.switch_cpus0.numRate,S_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core2.system.switch_cpus0.issueRate,S_core2.timesIdled,S_core2.l2cache.ReadReq.hits::total,S_core2.l2cache.demandAccesses::total,S_core3.decode.blockedCycles,S_core3.fetch.cycles,S_core3.numCycles,S_core3.numSimulatedInsts,S_core3.rename.LQFullEvents,S_core3.rename.unblockCycles,S_core3.rob.reads,S_core3.switch_cpus0.numRate,S_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core3.system.switch_cpus0.issueRate,S_core3.timesIdled,S_core3.l2cache.ReadReq.hits::total,S_core3.l2cache.demandAccesses::total,S_core3.ReadSharedReq.mshrMisses::total,S_core3.mem_ctrls.numStayReadState,S_core3.mem_ctrls.rdQLenPdf::3,S_core3.mem_ctrls.totGap,S_core3.system.l3.ReadSharedReq.accesses::total,S_core3.system.l3.demandAccesses::total,S_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,S_core3.system.l3.tags.totalRefs,S_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,NS_core0.decode.blockedCycles,NS_core0.fetch.cycles,NS_core0.numCycles,NS_core0.numSimulatedInsts,NS_core0.rename.LQFullEvents,NS_core0.rename.unblockCycles,NS_core0.rob.reads,NS_core0.switch_cpus0.numRate,NS_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core0.system.switch_cpus0.issueRate,NS_core0.timesIdled,NS_core0.l2cache.ReadReq.hits::total,NS_core0.l2cache.demandAccesses::total,NS_core1.decode.blockedCycles,NS_core1.fetch.cycles,NS_core1.numCycles,NS_core1.numSimulatedInsts,NS_core1.rename.LQFullEvents,NS_core1.rename.unblockCycles,NS_core1.rob.reads,NS_core1.switch_cpus0.numRate,NS_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core1.system.switch_cpus0.issueRate,NS_core1.timesIdled,NS_core1.l2cache.ReadReq.hits::total,NS_core1.l2cache.demandAccesses::total,NS_core2.decode.blockedCycles,NS_core2.fetch.cycles,NS_core2.numCycles,NS_core2.numSimulatedInsts,NS_core2.rename.LQFullEvents,NS_core2.rename.unblockCycles,NS_core2.rob.reads,NS_core2.switch_cpus0.numRate,NS_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core2.system.switch_cpus0.issueRate,NS_core2.timesIdled,NS_core2.l2cache.ReadReq.hits::total,NS_core2.l2cache.demandAccesses::total,NS_core3.decode.blockedCycles,NS_core3.fetch.cycles,NS_core3.numCycles,NS_core3.numSimulatedInsts,NS_core3.rename.LQFullEvents,NS_core3.rename.unblockCycles,NS_core3.rob.reads,NS_core3.switch_cpus0.numRate,NS_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core3.system.switch_cpus0.issueRate,NS_core3.timesIdled,NS_core3.l2cache.ReadReq.hits::total,NS_core3.l2cache.demandAccesses::total,NS_core3.ReadSharedReq.mshrMisses::total,NS_core3.mem_ctrls.numStayReadState,NS_core3.mem_ctrls.rdQLenPdf::3,NS_core3.mem_ctrls.totGap,NS_core3.system.l3.ReadSharedReq.accesses::total,NS_core3.system.l3.demandAccesses::total,NS_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,NS_core3.system.l3.tags.totalRefs,NS_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,Core0.L1.P0.degree,Core0.L1.P1.degree,Core0.L2.P0.degree,Core0.L2.P1.degree,Core1.L1.P0.degree,Core1.L1.P1.degree,Core1.L2.P0.degree,Core1.L2.P1.degree,Core2.L1.P0.degree,Core2.L1.P1.degree,Core2.L2.P0.degree,Core2.L2.P1.degree,Core3.L1.P0.degree,Core3.L1.P1.degree,Core3.L2.P0.degree,Core3.L2.P1.degree,LLC.P0.degree,LLC.P1.degree,LLC.P2.degree
mix7.alt_d3.0,312403.0,2077415.0,5973798.0,34955160.0,8786.0,115028.0,16939007.0,1.8326664209268542,0.00042316947404606395,10512.0,1.8403486358259855,2500.0,870.0,29233.0,356641.0,2777722.0,5973798.0,34955160.0,120148.0,187025.0,19100690.0,2.3323324625305375,4.534923953244374e-05,2278.0,2.353343718686169,241.0,230.0,2363.0,341124.0,1784318.0,5973798.0,34955160.0,44801.0,74030.0,13213926.0,1.2865744707136064,0.0006343893370116046,10366.0,1.2898512805421274,1442.0,5572.0,66364.0,903645.0,2274763.0,5973798.0,34955160.0,838.0,124889.0,12979324.0,1.2053311812686,0.002216609103562039,10865.0,1.2220431624905965,338.0,2887.0,13968.0,12111.0,48216.0,2100.0,1630712227.0,20500.0,21648.0,21358.0,79.0,30431.0,283124.0,2041590.0,5674011.0,32014202.0,11701.0,117076.0,16846047.0,1.9335286801523648,0.0003897543905629452,8491.0,1.9411411081155818,4113.0,367.0,28404.0,332035.0,2666388.0,5674011.0,32014202.0,118120.0,185557.0,18393086.0,2.3703346715401152,1.8254070585303734e-05,1467.0,2.3914627588843236,241.0,55.0,1383.0,1334487.0,2230402.0,5674011.0,32014202.0,333517.0,405426.0,10463113.0,0.9153124659081556,0.006826544484409846,59225.0,0.9264564344341243,11137.0,48118.0,148595.0,756513.0,2111913.0,5674011.0,32014202.0,1080.0,123869.0,12625557.0,1.249846184647862,0.002160691334014318,10233.0,1.2667430500222858,341.0,3011.0,12886.0,17734.0,67140.0,3330.0,1549016000.0,28640.0,29730.0,27166.0,60.0,42976.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mix7.alt_d3.1,283124.0,2041590.0,5674011.0,32014202.0,11701.0,117076.0,16846047.0,1.9335286801523648,0.0003897543905629452,8491.0,1.9411411081155818,4113.0,367.0,28404.0,332035.0,2666388.0,5674011.0,32014202.0,118120.0,185557.0,18393086.0,2.3703346715401152,1.8254070585303734e-05,1467.0,2.3914627588843236,241.0,55.0,1383.0,1334487.0,2230402.0,5674011.0,32014202.0,333517.0,405426.0,10463113.0,0.9153124659081556,0.006826544484409846,59225.0,0.9264564344341243,11137.0,48118.0,148595.0,756513.0,2111913.0,5674011.0,32014202.0,1080.0,123869.0,12625557.0,1.249846184647862,0.002160691334014318,10233.0,1.2667430500222858,341.0,3011.0,12886.0,17734.0,67140.0,3330.0,1549016000.0,28640.0,29730.0,27166.0,60.0,42976.0,288702.0,2054371.0,5792433.0,32185212.0,8378.0,98473.0,17039239.0,1.9021456096255236,0.0006040798259873392,21773.0,1.9104248594675157,6019.0,3173.0,41639.0,333349.0,2692939.0,5792433.0,32185212.0,115009.0,172136.0,18607177.0,2.3459919173860104,4.1900816176240574e-05,2248.0,2.3667964739514464,412.0,210.0,2417.0,914683.0,1795215.0,5792433.0,32185212.0,286377.0,326940.0,10860724.0,0.9398418591980261,0.012387018272797373,221929.0,0.9563228439586613,26001.0,86501.0,325015.0,752544.0,2123173.0,5792433.0,32185212.0,3363.0,131291.0,12826475.0,1.2451103016642575,0.0020694309544650557,18980.0,1.262037385671962,593.0,3158.0,19079.0,17779.0,75765.0,1485.0,1581029000.0,35431.0,35975.0,221401.0,579.0,63392.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mix7.alt_d3.2,288702.0,2054371.0,5792433.0,32185212.0,8378.0,98473.0,17039239.0,1.9021456096255236,0.0006040798259873392,21773.0,1.9104248594675157,6019.0,3173.0,41639.0,333349.0,2692939.0,5792433.0,32185212.0,115009.0,172136.0,18607177.0,2.3459919173860104,4.1900816176240574e-05,2248.0,2.3667964739514464,412.0,210.0,2417.0,914683.0,1795215.0,5792433.0,32185212.0,286377.0,326940.0,10860724.0,0.9398418591980261,0.012387018272797373,221929.0,0.9563228439586613,26001.0,86501.0,325015.0,752544.0,2123173.0,5792433.0,32185212.0,3363.0,131291.0,12826475.0,1.2451103016642575,0.0020694309544650557,18980.0,1.262037385671962,593.0,3158.0,19079.0,17779.0,75765.0,1485.0,1581029000.0,35431.0,35975.0,221401.0,579.0,63392.0,269958.0,2045866.0,5732215.0,32486900.0,5444.0,94189.0,17018685.0,1.922288330078338,0.0004775605440084325,9542.0,1.9302243548087432,7571.0,433.0,28335.0,377909.0,2707774.0,5732215.0,32486900.0,119724.0,215997.0,18443143.0,2.3434644373946196,2.7055301035316186e-05,2310.0,2.3647752221436216,412.0,97.0,2432.0,1014480.0,1959568.0,5732215.0,32486900.0,378573.0,417838.0,11076627.0,0.9832839487004588,0.006519696577495179,62188.0,0.9927134624224667,32813.0,43028.0,168045.0,717870.0,2102616.0,5732215.0,32486900.0,1893.0,130645.0,12852668.0,1.2684677738012269,0.0020961603015440242,10106.0,1.2852553506803217,601.0,2972.0,12693.0,12375.0,53992.0,2277.0,1564475000.0,26045.0,27127.0,30385.0,4223.0,37358.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mix7.alt_d3.3,269958.0,2045866.0,5732215.0,32486900.0,5444.0,94189.0,17018685.0,1.922288330078338,0.0004775605440084325,9542.0,1.9302243548087432,7571.0,433.0,28335.0,377909.0,2707774.0,5732215.0,32486900.0,119724.0,215997.0,18443143.0,2.3434644373946196,2.7055301035316186e-05,2310.0,2.3647752221436216,412.0,97.0,2432.0,1014480.0,1959568.0,5732215.0,32486900.0,378573.0,417838.0,11076627.0,0.9832839487004588,0.006519696577495179,62188.0,0.9927134624224667,32813.0,43028.0,168045.0,717870.0,2102616.0,5732215.0,32486900.0,1893.0,130645.0,12852668.0,1.2684677738012269,0.0020961603015440242,10106.0,1.2852553506803217,601.0,2972.0,12693.0,12375.0,53992.0,2277.0,1564475000.0,26045.0,27127.0,30385.0,4223.0,37358.0,267316.0,2041265.0,5731031.0,33875110.0,5686.0,93870.0,16971933.0,1.919977574715614,0.0007820313771518525,28861.0,1.9277342942308286,9342.0,695.0,43419.0,321434.0,2650929.0,5731031.0,33875110.0,107177.0,172067.0,18248954.0,2.30390797048559,2.7611514892404162e-05,2541.0,2.3247141744652926,430.0,160.0,2590.0,399633.0,1679500.0,5730860.0,33875110.0,62743.0,102222.0,12566151.0,1.2470685028076065,0.0015934881810391432,47874.0,1.250857811916536,34366.0,11857.0,114825.0,693624.0,2075966.0,5731031.0,33875110.0,1146.0,121602.0,12845825.0,1.2672686642246396,0.0021394068539666174,19475.0,1.2843214423373386,703.0,3446.0,20030.0,9273.0,47804.0,1084.0,1565314073.0,22582.0,23178.0,143945.0,12991.0,39324.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mix7.alt_d3.4,267316.0,2041265.0,5731031.0,33875110.0,5686.0,93870.0,16971933.0,1.919977574715614,0.0007820313771518525,28861.0,1.9277342942308286,9342.0,695.0,43419.0,321434.0,2650929.0,5731031.0,33875110.0,107177.0,172067.0,18248954.0,2.30390797048559,2.7611514892404162e-05,2541.0,2.3247141744652926,430.0,160.0,2590.0,399633.0,1679500.0,5730860.0,33875110.0,62743.0,102222.0,12566151.0,1.2470685028076065,0.0015934881810391432,47874.0,1.250857811916536,34366.0,11857.0,114825.0,693624.0,2075966.0,5731031.0,33875110.0,1146.0,121602.0,12845825.0,1.2672686642246396,0.0021394068539666174,19475.0,1.2843214423373386,703.0,3446.0,20030.0,9273.0,47804.0,1084.0,1565314073.0,22582.0,23178.0,143945.0,12991.0,39324.0,236106.0,2033314.0,5827343.0,32023912.0,4856.0,79561.0,16942055.0,1.876047282612333,0.00040994295480777766,9789.0,1.8847759605020675,10593.0,4197.0,28526.0,300737.0,2739756.0,5827343.0,32023912.0,119169.0,165892.0,19031784.0,2.3963092613563335,5.576038202552934e-06,636.0,2.4180948332713554,430.0,23.0,553.0,864702.0,1537503.0,5827514.0,32023912.0,279474.0,323814.0,10316717.0,0.8230173278004995,0.022531887366737568,169380.0,0.8421283929991417,53198.0,118588.0,371855.0,650563.0,2078930.0,5827343.0,32023912.0,1989.0,134563.0,13154477.0,1.2836479678645998,0.00212322080057551,10912.0,1.3008988830758719,710.0,3171.0,13376.0,7305.0,32524.0,1423.0,1590685278.0,15209.0,16083.0,16928.0,12095.0,21378.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mix7.alt_d3.5,236106.0,2033314.0,5827343.0,32023912.0,4856.0,79561.0,16942055.0,1.876047282612333,0.00040994295480777766,9789.0,1.8847759605020675,10593.0,4197.0,28526.0,300737.0,2739756.0,5827343.0,32023912.0,119169.0,165892.0,19031784.0,2.3963092613563335,5.576038202552934e-06,636.0,2.4180948332713554,430.0,23.0,553.0,864702.0,1537503.0,5827514.0,32023912.0,279474.0,323814.0,10316717.0,0.8230173278004995,0.022531887366737568,169380.0,0.8421283929991417,53198.0,118588.0,371855.0,650563.0,2078930.0,5827343.0,32023912.0,1989.0,134563.0,13154477.0,1.2836479678645998,0.00212322080057551,10912.0,1.3008988830758719,710.0,3171.0,13376.0,7305.0,32524.0,1423.0,1590685278.0,15209.0,16083.0,16928.0,12095.0,21378.0,249173.0,2067945.0,5922211.0,32692762.0,4392.0,74609.0,17243732.0,1.8652146976863877,0.000637405616891452,24831.0,1.873494544520619,12278.0,559.0,39259.0,304369.0,2791358.0,5922211.0,32692762.0,122543.0,164607.0,19449534.0,2.417916551774329,2.1741836348110717e-06,585.0,2.4395996697854905,430.0,21.0,501.0,784770.0,1456393.0,5922211.0,32692762.0,274995.0,307611.0,10595207.0,0.8377074035356052,0.025066012256901467,405330.0,0.8566092967643335,72898.0,124393.0,536955.0,579885.0,2059068.0,5922211.0,32692762.0,1087.0,124754.0,13467805.0,1.30050567262801,0.0018036756146460062,16937.0,1.318069214352545,718.0,2935.0,16951.0,6006.0,31290.0,761.0,1615473683.0,12965.0,13304.0,100134.0,20751.0,25436.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mix7.alt_d3.6,249173.0,2067945.0,5922211.0,32692762.0,4392.0,74609.0,17243732.0,1.8652146976863877,0.000637405616891452,24831.0,1.873494544520619,12278.0,559.0,39259.0,304369.0,2791358.0,5922211.0,32692762.0,122543.0,164607.0,19449534.0,2.417916551774329,2.1741836348110717e-06,585.0,2.4395996697854905,430.0,21.0,501.0,784770.0,1456393.0,5922211.0,32692762.0,274995.0,307611.0,10595207.0,0.8377074035356052,0.025066012256901467,405330.0,0.8566092967643335,72898.0,124393.0,536955.0,579885.0,2059068.0,5922211.0,32692762.0,1087.0,124754.0,13467805.0,1.30050567262801,0.0018036756146460062,16937.0,1.318069214352545,718.0,2935.0,16951.0,6006.0,31290.0,761.0,1615473683.0,12965.0,13304.0,100134.0,20751.0,25436.0,245798.0,2061933.0,5904203.0,32650959.0,3618.0,71448.0,17203941.0,1.869447578276018,0.00035380145271892186,7243.0,1.8776930603503978,13860.0,1210.0,27583.0,313408.0,2786969.0,5904203.0,32650959.0,122260.0,169553.0,19380235.0,2.4161882645295223,2.672358244347894e-05,989.0,2.4378433465109515,442.0,30.0,999.0,719316.0,1421143.0,5904203.0,32650959.0,250422.0,284155.0,10662524.0,0.8538568203024185,0.022833814543205648,182508.0,0.8733727481931092,91758.0,128757.0,399762.0,619312.0,2076750.0,5904203.0,32650959.0,3008.0,131605.0,13380047.0,1.2926184956716427,0.002105642638910987,10846.0,1.3099857847028633,788.0,3410.0,13924.0,3742.0,19323.0,769.0,1612658966.0,7675.0,8211.0,12544.0,13759.0,13453.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mix7.alt_d3.7,245798.0,2061933.0,5904203.0,32650959.0,3618.0,71448.0,17203941.0,1.869447578276018,0.00035380145271892186,7243.0,1.8776930603503978,13860.0,1210.0,27583.0,313408.0,2786969.0,5904203.0,32650959.0,122260.0,169553.0,19380235.0,2.4161882645295223,2.672358244347894e-05,989.0,2.4378433465109515,442.0,30.0,999.0,719316.0,1421143.0,5904203.0,32650959.0,250422.0,284155.0,10662524.0,0.8538568203024185,0.022833814543205648,182508.0,0.8733727481931092,91758.0,128757.0,399762.0,619312.0,2076750.0,5904203.0,32650959.0,3008.0,131605.0,13380047.0,1.2926184956716427,0.002105642638910987,10846.0,1.3099857847028633,788.0,3410.0,13924.0,3742.0,19323.0,769.0,1612658966.0,7675.0,8211.0,12544.0,13759.0,13453.0,257504.0,2053005.0,5839846.0,31707939.0,7748.0,79684.0,17147968.0,1.8909526038871574,0.0006709967786767795,26256.0,1.8997242393035707,15395.0,5514.0,46062.0,735427.0,2904092.0,5839846.0,31707939.0,102079.0,382438.0,18319438.0,2.2673056789511232,5.8376840786896226e-05,12439.0,2.2858929841643083,446.0,549.0,12562.0,791899.0,1435871.0,5839846.0,31707939.0,275323.0,310562.0,10401670.0,0.8310751687630119,0.02552539728035808,402206.0,0.8499311454445888,110806.0,125010.0,535543.0,523475.0,2001130.0,5839846.0,31707939.0,1630.0,123377.0,13363159.0,1.315230915335781,0.0013535605499709312,13906.0,1.3328998744144966,793.0,2182.0,13460.0,7579.0,38786.0,892.0,1594165019.0,20482.0,21929.0,167479.0,35384.0,31251.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mix7.alt_d3.8,257504.0,2053005.0,5839846.0,31707939.0,7748.0,79684.0,17147968.0,1.8909526038871574,0.0006709967786767795,26256.0,1.8997242393035707,15395.0,5514.0,46062.0,735427.0,2904092.0,5839846.0,31707939.0,102079.0,382438.0,18319438.0,2.2673056789511232,5.8376840786896226e-05,12439.0,2.2858929841643083,446.0,549.0,12562.0,791899.0,1435871.0,5839846.0,31707939.0,275323.0,310562.0,10401670.0,0.8310751687630119,0.02552539728035808,402206.0,0.8499311454445888,110806.0,125010.0,535543.0,523475.0,2001130.0,5839846.0,31707939.0,1630.0,123377.0,13363159.0,1.315230915335781,0.0013535605499709312,13906.0,1.3328998744144966,793.0,2182.0,13460.0,7579.0,38786.0,892.0,1594165019.0,20482.0,21929.0,167479.0,35384.0,31251.0,252767.0,2069849.0,5931715.0,32753425.0,2753.0,71366.0,17282691.0,1.8653824399857377,0.0007107602512204634,13927.0,1.873764501497459,17102.0,882.0,33456.0,294161.0,2793646.0,5931715.0,32753425.0,122856.0,157884.0,19517501.0,2.424640091440671,2.001006452164183e-05,421.0,2.446394508165008,456.0,83.0,556.0,726129.0,1435156.0,5931715.0,32753425.0,242665.0,276978.0,10745611.0,0.8598700375860944,0.022219999492421403,179028.0,0.8790341410536413,129143.0,126876.0,395334.0,651028.0,2099609.0,5931715.0,32753425.0,1495.0,128671.0,13366843.0,1.278953051520513,0.0023946707098203945,11883.0,1.296402979576733,870.0,3807.0,15452.0,3985.0,21968.0,838.0,1619728981.0,7840.0,8304.0,15263.0,21385.0,15696.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mix7.alt_d3.9,252767.0,2069849.0,5931715.0,32753425.0,2753.0,71366.0,17282691.0,1.8653824399857377,0.0007107602512204634,13927.0,1.873764501497459,17102.0,882.0,33456.0,294161.0,2793646.0,5931715.0,32753425.0,122856.0,157884.0,19517501.0,2.424640091440671,2.001006452164183e-05,421.0,2.446394508165008,456.0,83.0,556.0,726129.0,1435156.0,5931715.0,32753425.0,242665.0,276978.0,10745611.0,0.8598700375860944,0.022219999492421403,179028.0,0.8790341410536413,129143.0,126876.0,395334.0,651028.0,2099609.0,5931715.0,32753425.0,1495.0,128671.0,13366843.0,1.278953051520513,0.0023946707098203945,11883.0,1.296402979576733,870.0,3807.0,15452.0,3985.0,21968.0,838.0,1619728981.0,7840.0,8304.0,15263.0,21385.0,15696.0,262288.0,2078461.0,5885517.0,33102154.0,5269.0,88326.0,17163595.0,1.8753616717104038,0.0005238556721965541,18727.0,1.8836282352085636,18592.0,1613.0,35202.0,329928.0,2758565.0,5885517.0,33102154.0,114643.0,179275.0,19073070.0,2.3694295675299215,9.22141626423102e-06,1502.0,2.3903842262285537,456.0,60.0,1438.0,1024907.0,1980997.0,5885518.0,33102154.0,131040.0,171049.0,11037323.0,0.9456020693505652,0.007699915487621851,144243.0,0.9578818720799087,140275.0,58446.0,232594.0,679073.0,2105155.0,5885517.0,33102154.0,1791.0,147321.0,13259818.0,1.2782408070522946,0.0022025465477964845,20099.0,1.2955813397531601,879.0,3563.0,20418.0,11901.0,54433.0,1244.0,1606957000.0,25558.0,26062.0,186244.0,67066.0,43074.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
