,S_core0.decode.blockedCycles,S_core0.fetch.cycles,S_core0.numCycles,S_core0.numSimulatedInsts,S_core0.rename.LQFullEvents,S_core0.rename.unblockCycles,S_core0.rob.reads,S_core0.switch_cpus0.numRate,S_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core0.system.switch_cpus0.issueRate,S_core0.timesIdled,S_core0.l2cache.ReadReq.hits::total,S_core0.l2cache.demandAccesses::total,S_core1.decode.blockedCycles,S_core1.fetch.cycles,S_core1.numCycles,S_core1.numSimulatedInsts,S_core1.rename.LQFullEvents,S_core1.rename.unblockCycles,S_core1.rob.reads,S_core1.switch_cpus0.numRate,S_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core1.system.switch_cpus0.issueRate,S_core1.timesIdled,S_core1.l2cache.ReadReq.hits::total,S_core1.l2cache.demandAccesses::total,S_core2.decode.blockedCycles,S_core2.fetch.cycles,S_core2.numCycles,S_core2.numSimulatedInsts,S_core2.rename.LQFullEvents,S_core2.rename.unblockCycles,S_core2.rob.reads,S_core2.switch_cpus0.numRate,S_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core2.system.switch_cpus0.issueRate,S_core2.timesIdled,S_core2.l2cache.ReadReq.hits::total,S_core2.l2cache.demandAccesses::total,S_core3.decode.blockedCycles,S_core3.fetch.cycles,S_core3.numCycles,S_core3.numSimulatedInsts,S_core3.rename.LQFullEvents,S_core3.rename.unblockCycles,S_core3.rob.reads,S_core3.switch_cpus0.numRate,S_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core3.system.switch_cpus0.issueRate,S_core3.timesIdled,S_core3.l2cache.ReadReq.hits::total,S_core3.l2cache.demandAccesses::total,S_core3.ReadSharedReq.mshrMisses::total,S_core3.mem_ctrls.numStayReadState,S_core3.mem_ctrls.rdQLenPdf::3,S_core3.mem_ctrls.totGap,S_core3.system.l3.ReadSharedReq.accesses::total,S_core3.system.l3.demandAccesses::total,S_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,S_core3.system.l3.tags.totalRefs,S_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,NS_core0.decode.blockedCycles,NS_core0.fetch.cycles,NS_core0.numCycles,NS_core0.numSimulatedInsts,NS_core0.rename.LQFullEvents,NS_core0.rename.unblockCycles,NS_core0.rob.reads,NS_core0.switch_cpus0.numRate,NS_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core0.system.switch_cpus0.issueRate,NS_core0.timesIdled,NS_core0.l2cache.ReadReq.hits::total,NS_core0.l2cache.demandAccesses::total,NS_core1.decode.blockedCycles,NS_core1.fetch.cycles,NS_core1.numCycles,NS_core1.numSimulatedInsts,NS_core1.rename.LQFullEvents,NS_core1.rename.unblockCycles,NS_core1.rob.reads,NS_core1.switch_cpus0.numRate,NS_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core1.system.switch_cpus0.issueRate,NS_core1.timesIdled,NS_core1.l2cache.ReadReq.hits::total,NS_core1.l2cache.demandAccesses::total,NS_core2.decode.blockedCycles,NS_core2.fetch.cycles,NS_core2.numCycles,NS_core2.numSimulatedInsts,NS_core2.rename.LQFullEvents,NS_core2.rename.unblockCycles,NS_core2.rob.reads,NS_core2.switch_cpus0.numRate,NS_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core2.system.switch_cpus0.issueRate,NS_core2.timesIdled,NS_core2.l2cache.ReadReq.hits::total,NS_core2.l2cache.demandAccesses::total,NS_core3.decode.blockedCycles,NS_core3.fetch.cycles,NS_core3.numCycles,NS_core3.numSimulatedInsts,NS_core3.rename.LQFullEvents,NS_core3.rename.unblockCycles,NS_core3.rob.reads,NS_core3.switch_cpus0.numRate,NS_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core3.system.switch_cpus0.issueRate,NS_core3.timesIdled,NS_core3.l2cache.ReadReq.hits::total,NS_core3.l2cache.demandAccesses::total,NS_core3.ReadSharedReq.mshrMisses::total,NS_core3.mem_ctrls.numStayReadState,NS_core3.mem_ctrls.rdQLenPdf::3,NS_core3.mem_ctrls.totGap,NS_core3.system.l3.ReadSharedReq.accesses::total,NS_core3.system.l3.demandAccesses::total,NS_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,NS_core3.system.l3.tags.totalRefs,NS_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,Core0.L1.P0.degree,Core0.L1.P1.degree,Core0.L2.P0.degree,Core0.L2.P1.degree,Core1.L1.P0.degree,Core1.L1.P1.degree,Core1.L2.P0.degree,Core1.L2.P1.degree,Core2.L1.P0.degree,Core2.L1.P1.degree,Core2.L2.P0.degree,Core2.L2.P1.degree,Core3.L1.P0.degree,Core3.L1.P1.degree,Core3.L2.P0.degree,Core3.L2.P1.degree,LLC.P0.degree,LLC.P1.degree,LLC.P2.degree
mix70.t27.0,390146.0,1977442.0,4570623.0,31351091.0,8757.0,35344.0,13699629.0,2.18871869327223,0.010701404547276125,173843.0,2.213093050991079,128.0,20853.0,175040.0,619967.0,1651558.0,4570625.0,31351091.0,288101.0,300264.0,9640744.0,1.1474960207849036,0.0014647111566542846,17040.0,1.1578514973335157,2716.0,1942.0,40603.0,252807.0,2134769.0,4570623.0,31351091.0,93949.0,130860.0,14761550.0,2.3707245161108235,3.2008205609204266e-05,1331.0,2.392768119357033,258.0,204.0,1416.0,223979.0,1552014.0,4570623.0,31351091.0,5201.0,70428.0,12678286.0,1.770473521880934,0.0003924661312836234,6512.0,1.7786531507849148,1913.0,618.0,20440.0,9042.0,36570.0,1233.0,1247204050.0,15432.0,16141.0,19849.0,20.0,25095.0,290143.0,1881669.0,4479633.0,31042185.0,8344.0,33368.0,13606516.0,2.2330628424248147,0.009332413592025862,137097.0,2.2578709014778666,310.0,20900.0,168947.0,590904.0,1599308.0,4479638.0,31042185.0,252496.0,256844.0,9531724.0,1.1537063932398108,0.001768925912438832,0.0,1.1636944770983726,5654.0,2650.0,39501.0,264870.0,2082820.0,4479633.0,31042185.0,87764.0,138054.0,14273934.0,2.3164721306410594,4.522190956296416e-05,2129.0,2.3379683112433542,441.0,178.0,2321.0,198723.0,1543403.0,4479633.0,31042185.0,1536.0,55926.0,12780278.0,1.8259455629512507,0.0003850208552963286,9989.0,1.8342201247289678,3280.0,831.0,23696.0,4796.0,19800.0,786.0,1223255669.0,9220.0,9589.0,65766.0,26.0,10412.0,2,1,2,4,4,0,1,1,4,4,5,4,5,5,2,2,3,4,1
mix70.t27.1,290143.0,1881669.0,4479633.0,31042185.0,8344.0,33368.0,13606516.0,2.2330628424248147,0.009332413592025862,137097.0,2.2578709014778666,310.0,20900.0,168947.0,590904.0,1599308.0,4479638.0,31042185.0,252496.0,256844.0,9531724.0,1.1537063932398108,0.001768925912438832,0.0,1.1636944770983726,5654.0,2650.0,39501.0,264870.0,2082820.0,4479633.0,31042185.0,87764.0,138054.0,14273934.0,2.3164721306410594,4.522190956296416e-05,2129.0,2.3379683112433542,441.0,178.0,2321.0,198723.0,1543403.0,4479633.0,31042185.0,1536.0,55926.0,12780278.0,1.8259455629512507,0.0003850208552963286,9989.0,1.8342201247289678,3280.0,831.0,23696.0,4796.0,19800.0,786.0,1223255669.0,9220.0,9589.0,65766.0,26.0,10412.0,292008.0,1882393.0,4433821.0,31333718.0,9016.0,36286.0,13596012.0,2.255523396185818,0.007721489272703912,160824.0,2.2805519212435503,310.0,20727.0,164791.0,496286.0,1557243.0,4433823.0,31333718.0,264832.0,269936.0,9678439.0,1.1995323223322176,0.0013777125473061502,13835.0,1.2098561444604352,8231.0,1693.0,42592.0,259753.0,2111304.0,4433821.0,31333718.0,97575.0,146928.0,14434891.0,2.381987680603254,1.3717894103048078e-05,913.0,2.405244596026768,441.0,51.0,1317.0,172996.0,1535347.0,4433821.0,31333718.0,1556.0,51096.0,12866796.0,1.860758023384345,0.0003012494354412918,5076.0,1.8689527610609449,4276.0,279.0,19162.0,4309.0,21688.0,750.0,1209929334.0,6560.0,6894.0,43775.0,2.0,15821.0,4,3,0,2,5,1,5,4,5,1,3,0,2,1,0,5,4,4,1
mix70.t27.2,292008.0,1882393.0,4433821.0,31333718.0,9016.0,36286.0,13596012.0,2.255523396185818,0.007721489272703912,160824.0,2.2805519212435503,310.0,20727.0,164791.0,496286.0,1557243.0,4433823.0,31333718.0,264832.0,269936.0,9678439.0,1.1995323223322176,0.0013777125473061502,13835.0,1.2098561444604352,8231.0,1693.0,42592.0,259753.0,2111304.0,4433821.0,31333718.0,97575.0,146928.0,14434891.0,2.381987680603254,1.3717894103048078e-05,913.0,2.405244596026768,441.0,51.0,1317.0,172996.0,1535347.0,4433821.0,31333718.0,1556.0,51096.0,12866796.0,1.860758023384345,0.0003012494354412918,5076.0,1.8689527610609449,4276.0,279.0,19162.0,4309.0,21688.0,750.0,1209929334.0,6560.0,6894.0,43775.0,2.0,15821.0,277770.0,1873448.0,4424504.0,31272736.0,7264.0,32218.0,13588593.0,2.260209731983517,0.007624166831299852,109213.0,2.285275366459156,310.0,20673.0,175379.0,514768.0,1570637.0,4424506.0,31272736.0,249568.0,253930.0,9659333.0,1.2014708534692913,0.0014241786696876518,27289.0,1.2110086414166914,10958.0,1768.0,45730.0,293686.0,2104630.0,4424504.0,31272736.0,93509.0,165377.0,14327062.0,2.366740995148835,2.7652717738994217e-05,2180.0,2.3885393707407654,444.0,92.0,1927.0,175432.0,1540707.0,4424504.0,31272736.0,1127.0,48422.0,12884214.0,1.8663517989813097,0.00024396669017316656,7045.0,1.8747900329618867,5251.0,403.0,19501.0,5896.0,28732.0,810.0,1208498223.0,8863.0,9143.0,25267.0,4.0,22646.0,5,1,0,3,0,4,4,3,2,2,5,5,3,3,3,4,3,2,0
mix70.t27.3,277770.0,1873448.0,4424504.0,31272736.0,7264.0,32218.0,13588593.0,2.260209731983517,0.007624166831299852,109213.0,2.285275366459156,310.0,20673.0,175379.0,514768.0,1570637.0,4424506.0,31272736.0,249568.0,253930.0,9659333.0,1.2014708534692913,0.0014241786696876518,27289.0,1.2110086414166914,10958.0,1768.0,45730.0,293686.0,2104630.0,4424504.0,31272736.0,93509.0,165377.0,14327062.0,2.366740995148835,2.7652717738994217e-05,2180.0,2.3885393707407654,444.0,92.0,1927.0,175432.0,1540707.0,4424504.0,31272736.0,1127.0,48422.0,12884214.0,1.8663517989813097,0.00024396669017316656,7045.0,1.8747900329618867,5251.0,403.0,19501.0,5896.0,28732.0,810.0,1208498223.0,8863.0,9143.0,25267.0,4.0,22646.0,298701.0,1886655.0,4440893.0,31417387.0,6212.0,34464.0,13606440.0,2.2522841689723214,0.007529418808048825,193672.0,2.277289725287234,312.0,20795.0,163229.0,564499.0,1598164.0,4440897.0,31417387.0,256854.0,260288.0,9573836.0,1.1736971156953202,0.0015650101589516118,32210.0,1.1833237744536746,13694.0,2176.0,48511.0,252391.0,2090228.0,4440893.0,31417387.0,92048.0,137032.0,14480897.0,2.3927106552668573,3.9317564662695714e-05,1705.0,2.4140561369075995,460.0,120.0,1521.0,191176.0,1553773.0,4440893.0,31417387.0,2651.0,53446.0,13040923.0,1.8876613329796508,0.000482481484004069,14643.0,1.8957885272173862,6402.0,2977.0,30777.0,6417.0,33889.0,844.0,1210514777.0,9625.0,9871.0,50694.0,37.0,27212.0,4,5,2,2,2,4,2,0,1,3,2,2,5,5,0,1,5,2,1
mix70.t27.4,298701.0,1886655.0,4440893.0,31417387.0,6212.0,34464.0,13606440.0,2.2522841689723214,0.007529418808048825,193672.0,2.277289725287234,312.0,20795.0,163229.0,564499.0,1598164.0,4440897.0,31417387.0,256854.0,260288.0,9573836.0,1.1736971156953202,0.0015650101589516118,32210.0,1.1833237744536746,13694.0,2176.0,48511.0,252391.0,2090228.0,4440893.0,31417387.0,92048.0,137032.0,14480897.0,2.3927106552668573,3.9317564662695714e-05,1705.0,2.4140561369075995,460.0,120.0,1521.0,191176.0,1553773.0,4440893.0,31417387.0,2651.0,53446.0,13040923.0,1.8876613329796508,0.000482481484004069,14643.0,1.8957885272173862,6402.0,2977.0,30777.0,6417.0,33889.0,844.0,1210514777.0,9625.0,9871.0,50694.0,37.0,27212.0,279435.0,1872278.0,4423345.0,31571910.0,6486.0,33403.0,13581406.0,2.2608030800220194,0.00933781772707315,189531.0,2.2858689521165543,312.0,20697.0,179244.0,561250.0,1654824.0,4423346.0,31571910.0,329406.0,333413.0,9887710.0,1.2558463660767212,0.0014871961437527127,35248.0,1.2668642697179917,15394.0,2096.0,38836.0,253637.0,2084434.0,4423345.0,31571910.0,91671.0,140847.0,14432792.0,2.395183961459032,1.6960895181299066e-05,1328.0,2.4164924960634995,460.0,40.0,1132.0,178761.0,1536354.0,4423345.0,31571910.0,2302.0,55193.0,12865434.0,1.8686394572433305,0.0003658320980266826,8586.0,1.8769284331201839,7528.0,471.0,22937.0,6827.0,19557.0,983.0,1209404452.0,9683.0,9989.0,1484.0,66.0,12111.0,2,2,2,3,0,4,4,4,3,3,1,3,2,3,5,2,1,0,1
mix70.t27.5,279435.0,1872278.0,4423345.0,31571910.0,6486.0,33403.0,13581406.0,2.2608030800220194,0.00933781772707315,189531.0,2.2858689521165543,312.0,20697.0,179244.0,561250.0,1654824.0,4423346.0,31571910.0,329406.0,333413.0,9887710.0,1.2558463660767212,0.0014871961437527127,35248.0,1.2668642697179917,15394.0,2096.0,38836.0,253637.0,2084434.0,4423345.0,31571910.0,91671.0,140847.0,14432792.0,2.395183961459032,1.6960895181299066e-05,1328.0,2.4164924960634995,460.0,40.0,1132.0,178761.0,1536354.0,4423345.0,31571910.0,2302.0,55193.0,12865434.0,1.8686394572433305,0.0003658320980266826,8586.0,1.8769284331201839,7528.0,471.0,22937.0,6827.0,19557.0,983.0,1209404452.0,9683.0,9989.0,1484.0,66.0,12111.0,282512.0,1873765.0,4424625.0,31548814.0,8854.0,37322.0,13582359.0,2.260161256603667,0.019885814753274857,533942.0,2.2852363759640646,312.0,20725.0,116427.0,502756.0,1592661.0,4424627.0,31548814.0,294766.0,298260.0,9848021.0,1.2440962820142805,0.0012944673506568223,21432.0,1.2550802587427143,17505.0,1949.0,38186.0,253657.0,2087383.0,4424625.0,31548814.0,92057.0,138182.0,14455301.0,2.3996921773031614,1.2867770059566745e-05,958.0,2.4211403226262114,460.0,43.0,1127.0,186101.0,1548053.0,4424625.0,31548814.0,1745.0,57602.0,12911400.0,1.8742774811424696,0.0003783893617501637,11970.0,1.882686329349945,8524.0,210.0,23211.0,4755.0,26903.0,757.0,1207136548.0,7139.0,7396.0,60955.0,331.0,20767.0,0,3,1,5,1,2,0,4,5,3,3,1,3,5,4,1,2,5,2
mix70.t27.6,282512.0,1873765.0,4424625.0,31548814.0,8854.0,37322.0,13582359.0,2.260161256603667,0.019885814753274857,533942.0,2.2852363759640646,312.0,20725.0,116427.0,502756.0,1592661.0,4424627.0,31548814.0,294766.0,298260.0,9848021.0,1.2440962820142805,0.0012944673506568223,21432.0,1.2550802587427143,17505.0,1949.0,38186.0,253657.0,2087383.0,4424625.0,31548814.0,92057.0,138182.0,14455301.0,2.3996921773031614,1.2867770059566745e-05,958.0,2.4211403226262114,460.0,43.0,1127.0,186101.0,1548053.0,4424625.0,31548814.0,1745.0,57602.0,12911400.0,1.8742774811424696,0.0003783893617501637,11970.0,1.882686329349945,8524.0,210.0,23211.0,4755.0,26903.0,757.0,1207136548.0,7139.0,7396.0,60955.0,331.0,20767.0,275031.0,1870795.0,4422195.0,31231695.0,5921.0,30590.0,13585721.0,2.261380830108125,0.0078044920873067474,115886.0,2.2864335471411823,312.0,20607.0,167027.0,647965.0,1698694.0,4422197.0,31231695.0,350962.0,354200.0,9636922.0,1.1944388728046262,0.0015281135854545813,32489.0,1.2061703718762415,19352.0,2148.0,38313.0,252517.0,2083342.0,4422195.0,31231695.0,91725.0,139485.0,14432494.0,2.3959429649755384,1.0325077696209664e-05,1166.0,2.417330759950658,460.0,45.0,991.0,179895.0,1532745.0,4422195.0,31231695.0,2645.0,54163.0,12784545.0,1.8497542509997864,0.000479407097982905,15553.0,1.8585107621893653,9469.0,2735.0,26794.0,7119.0,42109.0,936.0,1207196555.0,10260.0,10593.0,86431.0,2475.0,34657.0,4,1,0,2,2,4,1,5,3,4,5,2,0,5,3,0,1,4,5
mix70.t27.7,275031.0,1870795.0,4422195.0,31231695.0,5921.0,30590.0,13585721.0,2.261380830108125,0.0078044920873067474,115886.0,2.2864335471411823,312.0,20607.0,167027.0,647965.0,1698694.0,4422197.0,31231695.0,350962.0,354200.0,9636922.0,1.1944388728046262,0.0015281135854545813,32489.0,1.2061703718762415,19352.0,2148.0,38313.0,252517.0,2083342.0,4422195.0,31231695.0,91725.0,139485.0,14432494.0,2.3959429649755384,1.0325077696209664e-05,1166.0,2.417330759950658,460.0,45.0,991.0,179895.0,1532745.0,4422195.0,31231695.0,2645.0,54163.0,12784545.0,1.8497542509997864,0.000479407097982905,15553.0,1.8585107621893653,9469.0,2735.0,26794.0,7119.0,42109.0,936.0,1207196555.0,10260.0,10593.0,86431.0,2475.0,34657.0,291179.0,1878618.0,4432411.0,31335120.0,10372.0,40268.0,13592765.0,2.2565660088832016,0.0217761047972026,684863.0,2.2816187397784184,312.0,20819.0,138690.0,631595.0,1687170.0,4432414.0,31335120.0,340333.0,345513.0,9714195.0,1.2116000445806732,0.0014253833072840497,19240.0,1.2224095041663527,21362.0,2568.0,36160.0,258254.0,2089572.0,4432411.0,31335120.0,92020.0,138613.0,14461649.0,2.394988867232754,4.190504757325664e-05,2228.0,2.416359854715639,472.0,122.0,1980.0,170125.0,1526216.0,4432411.0,31335120.0,2606.0,44399.0,12783179.0,1.8436848478175873,0.0003539338873677022,9972.0,1.8524696829784062,10457.0,2235.0,22847.0,5194.0,26281.0,934.0,1209664445.0,7463.0,7749.0,47457.0,3906.0,19425.0,0,5,1,3,5,1,0,3,2,5,3,3,4,4,3,4,3,4,2
mix70.t27.8,291179.0,1878618.0,4432411.0,31335120.0,10372.0,40268.0,13592765.0,2.2565660088832016,0.0217761047972026,684863.0,2.2816187397784184,312.0,20819.0,138690.0,631595.0,1687170.0,4432414.0,31335120.0,340333.0,345513.0,9714195.0,1.2116000445806732,0.0014253833072840497,19240.0,1.2224095041663527,21362.0,2568.0,36160.0,258254.0,2089572.0,4432411.0,31335120.0,92020.0,138613.0,14461649.0,2.394988867232754,4.190504757325664e-05,2228.0,2.416359854715639,472.0,122.0,1980.0,170125.0,1526216.0,4432411.0,31335120.0,2606.0,44399.0,12783179.0,1.8436848478175873,0.0003539338873677022,9972.0,1.8524696829784062,10457.0,2235.0,22847.0,5194.0,26281.0,934.0,1209664445.0,7463.0,7749.0,47457.0,3906.0,19425.0,257548.0,1852515.0,4403859.0,31393011.0,5141.0,32425.0,13558392.0,2.2707804677670196,0.01211475396374172,0.0,2.295919783081157,312.0,20589.0,160193.0,573018.0,1652909.0,4403862.0,31393011.0,303464.0,306589.0,9751468.0,1.230353948420727,0.0014617294300881373,31299.0,1.2423531890872148,22936.0,2248.0,34812.0,251107.0,2070582.0,4403859.0,31393011.0,90327.0,138287.0,14338762.0,2.386965613567555,1.5253458535705183e-05,1225.0,2.408364345906624,472.0,39.0,1062.0,194833.0,1550074.0,4403859.0,31393011.0,3152.0,66872.0,12894062.0,1.8829437999717975,0.00041739017308140556,0.0,1.8909569993044737,11618.0,234.0,19936.0,5992.0,34874.0,904.0,1202248245.0,9270.0,9595.0,107876.0,10186.0,27847.0,1,0,2,5,0,3,1,2,2,2,5,0,5,0,3,3,4,5,5
mix70.t27.9,257548.0,1852515.0,4403859.0,31393011.0,5141.0,32425.0,13558392.0,2.2707804677670196,0.01211475396374172,0.0,2.295919783081157,312.0,20589.0,160193.0,573018.0,1652909.0,4403862.0,31393011.0,303464.0,306589.0,9751468.0,1.230353948420727,0.0014617294300881373,31299.0,1.2423531890872148,22936.0,2248.0,34812.0,251107.0,2070582.0,4403859.0,31393011.0,90327.0,138287.0,14338762.0,2.386965613567555,1.5253458535705183e-05,1225.0,2.408364345906624,472.0,39.0,1062.0,194833.0,1550074.0,4403859.0,31393011.0,3152.0,66872.0,12894062.0,1.8829437999717975,0.00041739017308140556,0.0,1.8909569993044737,11618.0,234.0,19936.0,5992.0,34874.0,904.0,1202248245.0,9270.0,9595.0,107876.0,10186.0,27847.0,290846.0,1881094.0,4432447.0,31759627.0,6882.0,34356.0,13594840.0,2.256136621599762,0.007776958755068307,187766.0,2.281150344268076,312.0,20643.0,154569.0,517228.0,1608825.0,4432448.0,31759627.0,268206.0,270875.0,9859924.0,1.2429804027029758,0.0015529689771747756,34237.0,1.254166546341886,24997.0,2064.0,41725.0,245411.0,2092751.0,4432447.0,31759627.0,90956.0,133885.0,14531179.0,2.412596473234762,9.852716485163816e-06,902.0,2.4341448414386004,472.0,35.0,907.0,191533.0,1566049.0,4432447.0,31759627.0,3067.0,61122.0,13055914.0,1.9000484382554377,0.00029736665798605315,9573.0,1.9080223632679647,12626.0,306.0,21896.0,6270.0,29869.0,830.0,1210962755.0,8590.0,8750.0,48403.0,12945.0,23326.0,3,4,4,0,0,4,5,5,5,5,5,0,4,4,5,0,5,1,0
