Episode: 0 Iteratio:0 reward:1 total_reward:1 episode_reward:1, loss:0 #items:1 conf. ratio:1.0.
Total Entries: 1 More than 1: 0.0 More than 10: 0.0 More than 50: 0.0 Hottest index: 18 [0.,1.,0.,0.,0.,0.]
Episode: 0 Iteratio:100 reward:1 total_reward:101 episode_reward:101, loss:0.53 #items:101 conf. ratio:1.0.
Episode: 0 Iteratio:200 reward:1 total_reward:199 episode_reward:199, loss:0.49 #items:201 conf. ratio:1.0.
Episode: 0 Iteratio:300 reward:1 total_reward:298 episode_reward:298, loss:0.52 #items:301 conf. ratio:1.0.
Episode: 0 Iteratio:400 reward:1 total_reward:402 episode_reward:402, loss:0.56 #items:401 conf. ratio:1.0.
Episode: 0 Iteratio:500 reward:1 total_reward:499 episode_reward:499, loss:0.51 #items:501 conf. ratio:1.0.
Episode: 0 Iteratio:600 reward:1 total_reward:597 episode_reward:597, loss:0.57 #items:601 conf. ratio:1.0.
Episode: 0 Iteratio:700 reward:1 total_reward:698 episode_reward:698, loss:0.53 #items:701 conf. ratio:1.0.
Episode: 0 Iteratio:800 reward:1 total_reward:798 episode_reward:798, loss:0.52 #items:801 conf. ratio:1.0.
Episode: 0 Iteratio:900 reward:1 total_reward:902 episode_reward:902, loss:0.5 #items:901 conf. ratio:1.0.
Episode: 0 Iteratio:1000 reward:1 total_reward:1003 episode_reward:1003, loss:0.53 #items:1001 conf. ratio:1.0.
Total Entries: 1001 More than 1: 0.97 More than 10: 0.94 More than 50: 0.94 Hottest index: 18 [   0.,1001.,   0.,   0.,   0.,   0.]
Episode: 0 Iteratio:1100 reward:0 total_reward:1070 episode_reward:1070, loss:0.49 #items:1101 conf. ratio:1.0.
Episode: 0 Iteratio:1200 reward:1 total_reward:1142 episode_reward:1142, loss:0.5 #items:1201 conf. ratio:1.0.
Episode: 0 Iteratio:1300 reward:1 total_reward:1247 episode_reward:1247, loss:0.49 #items:1301 conf. ratio:1.0.
Episode: 0 Iteratio:1400 reward:0 total_reward:1257 episode_reward:1257, loss:0.51 #items:1401 conf. ratio:1.0.
Episode: 0 Iteratio:1500 reward:0 total_reward:1256 episode_reward:1256, loss:0.45 #items:1501 conf. ratio:1.0.
Episode: 0 Iteratio:1600 reward:1 total_reward:1311 episode_reward:1311, loss:0.39 #items:1601 conf. ratio:1.0.
Episode: 0 Iteratio:1700 reward:0 total_reward:1386 episode_reward:1386, loss:0.47 #items:1701 conf. ratio:1.0.
Episode: 0 Iteratio:1800 reward:1 total_reward:1430 episode_reward:1430, loss:0.39 #items:1801 conf. ratio:1.0.
Episode: 0 Iteratio:1900 reward:0 total_reward:1417 episode_reward:1417, loss:0.41 #items:1901 conf. ratio:1.0.
Episode: 0 Iteratio:2000 reward:0 total_reward:1417 episode_reward:1417, loss:0.41 #items:2001 conf. ratio:1.0.
Total Entries: 2001 More than 1: 0.97 More than 10: 0.94 More than 50: 0.9 Hottest index: 18 [   1.,2000.,   0.,   0.,   0.,   0.]
Episode: 0 Iteratio:2100 reward:1 total_reward:1468 episode_reward:1468, loss:0.41 #items:2101 conf. ratio:1.0.
Episode: 0 Iteratio:2200 reward:1 total_reward:1492 episode_reward:1492, loss:0.33 #items:2201 conf. ratio:1.0.
Episode: 0 Iteratio:2300 reward:0 total_reward:1557 episode_reward:1557, loss:0.37 #items:2301 conf. ratio:1.0.
Episode: 0 Iteratio:2400 reward:0 total_reward:1588 episode_reward:1588, loss:0.34 #items:2401 conf. ratio:1.0.
Episode: 0 Iteratio:2500 reward:0 total_reward:1631 episode_reward:1631, loss:0.38 #items:2501 conf. ratio:1.0.
Episode: 0 Iteratio:2600 reward:0 total_reward:1619 episode_reward:1619, loss:0.41 #items:2601 conf. ratio:1.0.
