
---------- Begin Simulation Statistics ----------
simSeconds                                   0.022485                       # Number of seconds simulated (Second)
simTicks                                  22484684313                       # Number of ticks simulated (Tick)
finalTick                                8498720672169                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5726.47                       # Real time elapsed on the host (Second)
hostTickRate                                  3926448                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   71677088                       # Number of bytes of host memory used (Byte)
simInsts                                    346595455                       # Number of instructions simulated (Count)
simOps                                      404734351                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    60525                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      70678                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 8498720672169                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                               0                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.dcache.demandHits::switch_cpus0.data     55814994                       # number of demand (read+write) hits (Count)
system.cpu0.dcache.demandHits::total         55814994                       # number of demand (read+write) hits (Count)
system.cpu0.dcache.overallHits::switch_cpus0.data     55820345                       # number of overall hits (Count)
system.cpu0.dcache.overallHits::total        55820345                       # number of overall hits (Count)
system.cpu0.dcache.demandMisses::switch_cpus0.data       824058                       # number of demand (read+write) misses (Count)
system.cpu0.dcache.demandMisses::total         824058                       # number of demand (read+write) misses (Count)
system.cpu0.dcache.overallMisses::switch_cpus0.data       824091                       # number of overall misses (Count)
system.cpu0.dcache.overallMisses::total        824091                       # number of overall misses (Count)
system.cpu0.dcache.demandMissLatency::switch_cpus0.data   6928380877                       # number of demand (read+write) miss ticks (Tick)
system.cpu0.dcache.demandMissLatency::total   6928380877                       # number of demand (read+write) miss ticks (Tick)
system.cpu0.dcache.overallMissLatency::switch_cpus0.data   6928380877                       # number of overall miss ticks (Tick)
system.cpu0.dcache.overallMissLatency::total   6928380877                       # number of overall miss ticks (Tick)
system.cpu0.dcache.demandAccesses::switch_cpus0.data     56639052                       # number of demand (read+write) accesses (Count)
system.cpu0.dcache.demandAccesses::total     56639052                       # number of demand (read+write) accesses (Count)
system.cpu0.dcache.overallAccesses::switch_cpus0.data     56644436                       # number of overall (read+write) accesses (Count)
system.cpu0.dcache.overallAccesses::total     56644436                       # number of overall (read+write) accesses (Count)
system.cpu0.dcache.demandMissRate::switch_cpus0.data     0.014549                       # miss rate for demand accesses (Ratio)
system.cpu0.dcache.demandMissRate::total     0.014549                       # miss rate for demand accesses (Ratio)
system.cpu0.dcache.overallMissRate::switch_cpus0.data     0.014548                       # miss rate for overall accesses (Ratio)
system.cpu0.dcache.overallMissRate::total     0.014548                       # miss rate for overall accesses (Ratio)
system.cpu0.dcache.demandAvgMissLatency::switch_cpus0.data  8407.637420                       # average overall miss latency ((Cycle/Count))
system.cpu0.dcache.demandAvgMissLatency::total  8407.637420                       # average overall miss latency ((Cycle/Count))
system.cpu0.dcache.overallAvgMissLatency::switch_cpus0.data  8407.300743                       # average overall miss latency ((Cycle/Count))
system.cpu0.dcache.overallAvgMissLatency::total  8407.300743                       # average overall miss latency ((Cycle/Count))
system.cpu0.dcache.blockedCycles::no_mshrs        30039                       # number of cycles access was blocked (Cycle)
system.cpu0.dcache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu0.dcache.blockedCauses::no_mshrs         1086                       # number of times access was blocked (Count)
system.cpu0.dcache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu0.dcache.avgBlocked::no_mshrs     27.660221                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu0.dcache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu0.dcache.unusedPrefetches            608636                       # number of HardPF blocks evicted w/o reference (Count)
system.cpu0.dcache.writebacks::writebacks       199329                       # number of writebacks (Count)
system.cpu0.dcache.writebacks::total           199329                       # number of writebacks (Count)
system.cpu0.dcache.demandMshrHits::switch_cpus0.data       502812                       # number of demand (read+write) MSHR hits (Count)
system.cpu0.dcache.demandMshrHits::total       502812                       # number of demand (read+write) MSHR hits (Count)
system.cpu0.dcache.overallMshrHits::switch_cpus0.data       502812                       # number of overall MSHR hits (Count)
system.cpu0.dcache.overallMshrHits::total       502812                       # number of overall MSHR hits (Count)
system.cpu0.dcache.demandMshrMisses::switch_cpus0.data       321246                       # number of demand (read+write) MSHR misses (Count)
system.cpu0.dcache.demandMshrMisses::total       321246                       # number of demand (read+write) MSHR misses (Count)
system.cpu0.dcache.overallMshrMisses::cpu0.dcache.prefetcher.prefetchers0         9850                       # number of overall MSHR misses (Count)
system.cpu0.dcache.overallMshrMisses::cpu0.dcache.prefetcher.prefetchers1       806309                       # number of overall MSHR misses (Count)
system.cpu0.dcache.overallMshrMisses::switch_cpus0.data       321274                       # number of overall MSHR misses (Count)
system.cpu0.dcache.overallMshrMisses::total      1137433                       # number of overall MSHR misses (Count)
system.cpu0.dcache.overallMshrUncacheable::switch_cpus0.data           43                       # number of overall MSHR uncacheable misses (Count)
system.cpu0.dcache.overallMshrUncacheable::total           43                       # number of overall MSHR uncacheable misses (Count)
system.cpu0.dcache.demandMshrMissLatency::switch_cpus0.data   2295818878                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu0.dcache.demandMshrMissLatency::total   2295818878                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu0.dcache.overallMshrMissLatency::cpu0.dcache.prefetcher.prefetchers0    347900450                       # number of overall MSHR miss ticks (Tick)
system.cpu0.dcache.overallMshrMissLatency::cpu0.dcache.prefetcher.prefetchers1   4643091033                       # number of overall MSHR miss ticks (Tick)
system.cpu0.dcache.overallMshrMissLatency::switch_cpus0.data   2296863103                       # number of overall MSHR miss ticks (Tick)
system.cpu0.dcache.overallMshrMissLatency::total   7287854586                       # number of overall MSHR miss ticks (Tick)
system.cpu0.dcache.overallMshrUncacheableLatency::switch_cpus0.data      2713074                       # number of overall MSHR uncacheable ticks (Tick)
system.cpu0.dcache.overallMshrUncacheableLatency::total      2713074                       # number of overall MSHR uncacheable ticks (Tick)
