
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012079                       # Number of seconds simulated (Second)
simTicks                                  12079467036                       # Number of ticks simulated (Tick)
finalTick                                6876882194637                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3819.86                       # Real time elapsed on the host (Second)
hostTickRate                                  3162280                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   71665148                       # Number of bytes of host memory used (Byte)
simInsts                                    340308611                       # Number of instructions simulated (Count)
simOps                                      368355386                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    89089                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      96432                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 6876882194637                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                               0                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.dcache.demandHits::switch_cpus0.data     19097914                       # number of demand (read+write) hits (Count)
system.cpu0.dcache.demandHits::total         19097914                       # number of demand (read+write) hits (Count)
system.cpu0.dcache.overallHits::switch_cpus0.data     19097922                       # number of overall hits (Count)
system.cpu0.dcache.overallHits::total        19097922                       # number of overall hits (Count)
system.cpu0.dcache.demandMisses::switch_cpus0.data      1607725                       # number of demand (read+write) misses (Count)
system.cpu0.dcache.demandMisses::total        1607725                       # number of demand (read+write) misses (Count)
system.cpu0.dcache.overallMisses::switch_cpus0.data      1607728                       # number of overall misses (Count)
system.cpu0.dcache.overallMisses::total       1607728                       # number of overall misses (Count)
system.cpu0.dcache.demandMissLatency::switch_cpus0.data   8289493754                       # number of demand (read+write) miss ticks (Tick)
system.cpu0.dcache.demandMissLatency::total   8289493754                       # number of demand (read+write) miss ticks (Tick)
system.cpu0.dcache.overallMissLatency::switch_cpus0.data   8289493754                       # number of overall miss ticks (Tick)
system.cpu0.dcache.overallMissLatency::total   8289493754                       # number of overall miss ticks (Tick)
system.cpu0.dcache.demandAccesses::switch_cpus0.data     20705639                       # number of demand (read+write) accesses (Count)
system.cpu0.dcache.demandAccesses::total     20705639                       # number of demand (read+write) accesses (Count)
