
---------- Begin Simulation Statistics ----------
simSeconds                                   0.024845                       # Number of seconds simulated (Second)
simTicks                                  24845378103                       # Number of ticks simulated (Tick)
finalTick                                8491055160588                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5736.63                       # Real time elapsed on the host (Second)
hostTickRate                                  4331008                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   71660352                       # Number of bytes of host memory used (Byte)
simInsts                                    358545782                       # Number of instructions simulated (Count)
simOps                                      418181824                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    62501                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      72897                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 8491055160588                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                              36                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.dcache.demandHits::cpu0.data           13                       # number of demand (read+write) hits (Count)
system.cpu0.dcache.demandHits::switch_cpus0.data     61277855                       # number of demand (read+write) hits (Count)
system.cpu0.dcache.demandHits::total         61277868                       # number of demand (read+write) hits (Count)
system.cpu0.dcache.overallHits::cpu0.data           13                       # number of overall hits (Count)
system.cpu0.dcache.overallHits::switch_cpus0.data     61283720                       # number of overall hits (Count)
system.cpu0.dcache.overallHits::total        61283733                       # number of overall hits (Count)
system.cpu0.dcache.demandMisses::cpu0.data            6                       # number of demand (read+write) misses (Count)
system.cpu0.dcache.demandMisses::switch_cpus0.data      1109756                       # number of demand (read+write) misses (Count)
system.cpu0.dcache.demandMisses::total        1109762                       # number of demand (read+write) misses (Count)
system.cpu0.dcache.overallMisses::cpu0.data            6                       # number of overall misses (Count)
system.cpu0.dcache.overallMisses::switch_cpus0.data      1109782                       # number of overall misses (Count)
system.cpu0.dcache.overallMisses::total       1109788                       # number of overall misses (Count)
system.cpu0.dcache.demandMissLatency::switch_cpus0.data   7377083309                       # number of demand (read+write) miss ticks (Tick)
system.cpu0.dcache.demandMissLatency::total   7377083309                       # number of demand (read+write) miss ticks (Tick)
system.cpu0.dcache.overallMissLatency::switch_cpus0.data   7377083309                       # number of overall miss ticks (Tick)
system.cpu0.dcache.overallMissLatency::total   7377083309                       # number of overall miss ticks (Tick)
system.cpu0.dcache.demandAccesses::cpu0.data           19                       # number of demand (read+write) accesses (Count)
system.cpu0.dcache.demandAccesses::switch_cpus0.data     62387611                       # number of demand (read+write) accesses (Count)
system.cpu0.dcache.demandAccesses::total     62387630                       # number of demand (read+write) accesses (Count)
system.cpu0.dcache.overallAccesses::cpu0.data           19                       # number of overall (read+write) accesses (Count)
system.cpu0.dcache.overallAccesses::switch_cpus0.data     62393502                       # number of overall (read+write) accesses (Count)
system.cpu0.dcache.overallAccesses::total     62393521                       # number of overall (read+write) accesses (Count)
system.cpu0.dcache.demandMissRate::cpu0.data     0.315789                       # miss rate for demand accesses (Ratio)
