
---------- Begin Simulation Statistics ----------
simSeconds                                   0.048274                       # Number of seconds simulated (Second)
simTicks                                  48274070754                       # Number of ticks simulated (Tick)
finalTick                                7072918260135                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7352.82                       # Real time elapsed on the host (Second)
hostTickRate                                  6565380                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   71672624                       # Number of bytes of host memory used (Byte)
simInsts                                    401056718                       # Number of instructions simulated (Count)
simOps                                      416820311                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    54545                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      56688                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 7072918260135                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                               0                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.dcache.demandHits::switch_cpus0.data     55596305                       # number of demand (read+write) hits (Count)
system.cpu0.dcache.demandHits::total         55596305                       # number of demand (read+write) hits (Count)
system.cpu0.dcache.overallHits::switch_cpus0.data     55596343                       # number of overall hits (Count)
system.cpu0.dcache.overallHits::total        55596343                       # number of overall hits (Count)
system.cpu0.dcache.demandMisses::switch_cpus0.data      4312033                       # number of demand (read+write) misses (Count)
system.cpu0.dcache.demandMisses::total        4312033                       # number of demand (read+write) misses (Count)
system.cpu0.dcache.overallMisses::switch_cpus0.data      4312045                       # number of overall misses (Count)
system.cpu0.dcache.overallMisses::total       4312045                       # number of overall misses (Count)
system.cpu0.dcache.demandMissLatency::switch_cpus0.data  35856689366                       # number of demand (read+write) miss ticks (Tick)
system.cpu0.dcache.demandMissLatency::total  35856689366                       # number of demand (read+write) miss ticks (Tick)
system.cpu0.dcache.overallMissLatency::switch_cpus0.data  35856689366                       # number of overall miss ticks (Tick)
system.cpu0.dcache.overallMissLatency::total  35856689366                       # number of overall miss ticks (Tick)
system.cpu0.dcache.demandAccesses::switch_cpus0.data     59908338                       # number of demand (read+write) accesses (Count)
system.cpu0.dcache.demandAccesses::total     59908338                       # number of demand (read+write) accesses (Count)
system.cpu0.dcache.overallAccesses::switch_cpus0.data     59908388                       # number of overall (read+write) accesses (Count)
system.cpu0.dcache.overallAccesses::total     59908388                       # number of overall (read+write) accesses (Count)
system.cpu0.dcache.demandMissRate::switch_cpus0.data     0.071977                       # miss rate for demand accesses (Ratio)
system.cpu0.dcache.demandMissRate::total     0.071977                       # miss rate for demand accesses (Ratio)
